"avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
-10.819,-0.52797,6475.2,6480.5,473.4,509.41,12864,12867,-18.243,7.313,6331.5,6335.6,-626.08,-716.68,3084.4,3084.8,194.38,184.21,1511.2,1512.2
-10.38,-0.76503,6469.8,6475.1,466.63,502.29,12686,12689,-18.102,7.5123,6359.6,6362,-626.3,-706.8,3175.5,3175.9,194.11,183.2,1465.4,1466.3
-9.9911,-0.96807,6465.2,6470.4,460.61,495.94,12528,12531,-17.967,7.6377,6326.7,6334.8,-626.65,-698.02,3255.5,3255.9,193.9,182.33,1428.7,1429.6
-9.6478,-1.1436,6461.2,6466.5,455.24,490.3,12387,12390,-17.85,7.7525,6331.6,6332.2,-627.06,-690.21,3325.6,3326,193.75,181.59,1399.6,1400.4
-9.346,-1.2959,6457.8,6463.1,450.49,485.3,12263,12266,-17.748,7.8557,6308.3,6314.7,-627.5,-683.3,3386.9,3387.3,193.64,180.95,1376.6,1377.4
-9.0815,-1.4279,6454.9,6460.2,446.29,480.88,12153,12156,-17.659,7.9478,6301.7,6303.6,-627.95,-677.2,3440.4,3440.8,193.57,180.4,1358.6,1359.4
-8.8501,-1.5424,6452.4,6457.7,442.59,477,12056,12059,-17.582,7.9702,6308.1,6310.9,-628.39,-671.83,3487.1,3487.5,193.51,179.93,1344.6,1345.3
-8.648,-1.6416,6450.3,6455.5,439.34,473.59,11971,11974,-17.516,7.8878,6306,6307.7,-628.8,-667.12,3527.7,3528.1,193.48,179.53,1333.7,1334.4
-8.4717,-1.7275,6448.5,6453.7,438.17,470.6,11897,11900,-17.458,7.818,6279,6281,-629.19,-663,3563,3563.5,193.45,179.18,1325.2,1325.9
-8.3181,-1.802,6446.9,6452.1,440.55,467.99,11832,11835,-17.409,7.7587,6288.2,6292.4,-629.54,-659.4,3593.8,3594.2,193.44,178.89,1318.7,1319.3
-8.1846,-1.8664,6445.6,6450.8,442.63,465.71,11775,11778,-17.366,7.7083,6280,6284.9,-629.87,-656.25,3620.4,3620.9,193.43,178.63,1313.6,1314.3
-8.0685,-1.9221,6444.4,6449.6,444.44,463.72,11726,11729,-17.329,7.7038,6276.6,6279.7,-630.16,-653.51,3643.6,3644,193.43,178.42,1309.7,1310.3
-7.9677,-1.9704,6443.4,6448.6,446.01,461.99,11683,11686,-17.296,7.7105,6264.6,6264.8,-630.42,-651.12,3663.6,3664.1,193.43,178.23,1306.6,1307.3
-7.8802,-2.0122,6442.5,6447.8,447.37,460.49,11646,11648,-17.269,7.7168,6267,6271.5,-630.65,-649.05,3681.1,3681.5,193.43,178.07,1304.3,1304.9
-7.8043,-2.0483,6441.8,6447,448.56,459.18,11613,11616,-17.245,7.7226,6286.9,6289.7,-630.86,-647.24,3696.1,3696.6,193.43,177.93,1302.4,1303
-7.7384,-2.0795,6441.2,6446.4,449.59,458.05,11585,11587,-17.224,7.7279,6304.3,6305.5,-631.04,-645.68,3709.2,3709.7,193.44,177.81,1301,1301.6
-7.6814,-2.1066,6440.6,6445.8,450.48,457.06,11560,11563,-17.206,7.7327,6314.1,6318.8,-631.2,-644.32,3720.5,3721,193.44,177.7,1299.9,1300.5
-7.6328,-2.1318,6440.1,6445.3,451.26,456.21,11539,11542,-17.194,7.7405,6316,6320.1,-631.33,-643.13,3730.3,3730.7,193.45,177.62,1299,1299.6
-7.5935,-2.1512,6439.7,6444.9,451.91,455.44,11521,11523,-17.193,7.7476,6325.2,6329.2,-631.49,-642.15,3729,3730.3,193.45,177.54,1298.3,1298.9
-7.5548,-2.177,6439.4,6444.6,452.49,454.85,11505,11508,-17.16,7.7747,6333,6337,-631.51,-641.17,3724.1,3725.5,193.45,177.47,1297.7,1298.4
-7.521,-2.1842,6439.1,6444.3,453,454.27,11491,11494,-17.158,7.7891,6339.9,6343.9,-631.66,-640.47,3719.9,3721.2,193.46,177.42,1297.3,1297.9
-7.4931,-2.1968,6438.8,6444,453.44,453.79,11479,11482,-17.152,7.8036,6340.5,6345.3,-631.73,-639.81,3716.3,3717.6,193.46,177.37,1297,1297.6
-7.4735,-2.2205,6438.6,6443.8,453.78,453.42,11469,11472,-17.134,7.8078,6340.4,6345.2,-631.73,-639.15,3713.2,3714.5,193.46,177.32,1296.7,1297.3
-7.4519,-2.2172,6438.4,6443.6,454.08,453.03,11460,11463,-17.127,7.8014,6340.5,6345.2,-631.91,-638.84,3710.4,3711.8,193.47,177.29,1296.5,1297.1
-7.4355,-2.2272,6438.2,6443.4,454.39,452.7,11453,11455,-17.142,7.8158,6341.9,6346.5,-631.94,-638.36,3708.1,3709.5,193.47,177.26,1296.3,1296.9
-7.4155,-2.2407,6438.1,6443.3,454.63,452.52,11446,11449,-17.105,7.8428,6344.9,6348.5,-631.89,-637.9,3706.2,3707.5,193.47,177.23,1296.1,1296.7
-7.412,-2.2482,6437.9,6443.1,454.84,452.2,11441,11443,-17.159,7.8247,6345.6,6348.5,-631.95,-637.58,3704.4,3705.8,193.47,177.21,1296,1296.6
-7.3936,-2.2469,6437.8,6443,455.01,452.04,11446,11448,-17.119,7.8405,6345.6,6348.5,-632.03,-637.39,3702.9,3704.3,193.47,177.19,1295.9,1296.5
-7.3812,-2.2533,6437.7,6442.9,455.15,451.9,11452,11454,-17.106,7.8499,6345.6,6348.5,-632.01,-637.3,3701.6,3703,193.47,177.18,1295.8,1296.4
-7.3795,-2.2545,6437.7,6442.9,455.28,451.73,11457,11459,-17.095,7.8388,6345.7,6348.6,-632.15,-636.54,3700.6,3701.9,193.48,177.15,1295.8,1296.4
-7.3652,-2.2626,6437.6,6442.8,455.41,451.6,11461,11463,-17.123,7.8602,6345.7,6348.6,-632.04,-637.16,3699.6,3700.9,193.47,177.15,1295.7,1296.3
-7.3589,-2.2656,6437.5,6442.7,455.51,451.49,11465,11467,-17.122,7.8596,6345.7,6348.6,-632.08,-637.08,3698.8,3700.1,193.47,177.15,1295.6,1296.2
-7.3536,-2.2685,6437.5,6442.7,455.59,451.4,11468,11470,-17.118,7.8621,6345.7,6348.6,-632.09,-636.93,3698.1,3699.4,193.47,177.14,1295.6,1296.2
-7.3553,-2.2663,6437.4,6442.6,455.66,451.34,11471,11473,-17.09,7.857,6345.7,6348.6,-632.15,-635.99,3697.5,3698.8,193.48,177.11,1295.6,1296.2
-7.352,-2.2688,6437.4,6442.6,455.72,451.28,11473,11476,-17.087,7.8585,6345.7,6348.6,-632.15,-635.84,3696.9,3698.3,193.48,177.1,1295.6,1296.2
-7.3418,-2.2734,6437.4,6442.6,455.78,451.18,11476,11478,-17.114,7.8641,6345.7,6348.6,-632.15,-636.6,3696.4,3697.8,193.48,177.11,1295.5,1296.1
-7.3389,-2.275,6437.3,6442.5,455.82,451.13,11477,11480,-17.113,7.8649,6345.7,6348.6,-632.16,-636.55,3696.1,3697.4,193.48,177.11,1295.5,1296.1
-7.3363,-2.2768,6437.3,6442.5,455.86,451.08,11479,11481,-17.113,7.866,6345.7,6348.6,-632.16,-636.49,3695.7,3697.1,193.48,177.11,1295.5,1296.1
-7.3341,-2.2775,6437.3,6442.5,455.9,451.05,11480,11482,-17.111,7.8668,6345.7,6348.6,-632.17,-636.43,3695.4,3696.8,193.48,177.1,1295.5,1296.1
-7.3386,-2.2748,6437.3,6442.5,455.92,451.05,11481,11484,-17.085,7.8653,6345.8,6348.7,-632.18,-635.56,3695.2,3696.6,193.49,177.07,1295.5,1296.1
-7.3364,-2.2751,6437.3,6442.5,455.95,451.02,11482,11485,-17.085,7.8665,6345.8,6348.5,-632.19,-635.56,3695,3696.3,193.49,177.07,1295.5,1296.1
-7.3293,-2.2796,6437.2,6442.4,455.97,450.96,11483,11485,-17.109,7.8688,6345.7,6348.3,-632.19,-636.3,3694.8,3696.1,193.48,177.09,1295.4,1296
-7.3342,-2.2767,6437.2,6442.4,455.99,450.97,11484,11486,-17.084,7.8672,6345.6,6348,-632.2,-635.48,3694.6,3696,193.49,177.07,1295.4,1296
-7.3272,-2.2804,6437.2,6442.4,456.01,450.93,11484,11487,-17.108,7.8696,6345.4,6347.9,-632.2,-636.24,3694.5,3695.8,193.48,177.09,1295.4,1296
-7.3262,-2.2811,6437.2,6442.4,456.02,450.91,11485,11487,-17.108,7.8699,6345.2,6347.7,-632.2,-636.22,3694.4,3695.7,193.48,177.09,1295.4,1296
-7.3312,-2.2778,6437.2,6442.4,456.03,450.93,11486,11488,-17.084,7.8687,6345,6347.5,-632.21,-635.43,3694.3,3695.6,193.49,177.06,1295.4,1296
-7.3307,-2.278,6437.2,6442.4,456.04,450.92,11486,11488,-17.084,7.8688,6345,6347.4,-632.21,-635.41,3694.2,3695.6,193.49,177.06,1295.4,1296
-7.3302,-2.2783,6437.2,6442.4,456.05,450.91,11486,11489,-17.084,7.8691,6344.9,6347.3,-632.21,-635.41,3694.2,3695.5,193.49,177.06,1295.4,1296
-7.3297,-2.2785,6437.2,6442.4,456.06,450.9,11487,11489,-17.084,7.8692,6344.7,6347.2,-632.21,-635.39,3694.1,3695.4,193.49,177.06,1295.4,1296
-7.3235,-2.2824,6437.2,6442.4,456.07,450.86,11487,11489,-17.106,7.8708,6344.7,6347.1,-632.2,-636.15,3694,3695.4,193.48,177.08,1295.4,1296
-7.3291,-2.2788,6437.2,6442.4,456.07,450.89,11487,11489,-17.083,7.8694,6344.6,6347.1,-632.21,-635.38,3694,3695.4,193.49,177.06,1295.4,1296
-7.323,-2.2827,6437.2,6442.4,456.07,450.85,11487,11489,-17.106,7.8708,6344.6,6347,-632.21,-636.13,3693.9,3695.3,193.48,177.08,1295.4,1296
-7.323,-2.2827,6437.2,6442.4,456.07,450.85,11487,11489,-17.106,7.8708,6344.6,6347,-632.21,-636.13,3693.9,3695.3,193.48,177.08,1295.4,1296
-7.3285,-2.279,6437.2,6442.4,456.08,450.88,11487,11490,-17.083,7.8694,6344.5,6347,-632.21,-635.37,3693.9,3695.3,193.49,177.06,1295.4,1296
-7.3285,-2.279,6437.2,6442.4,456.08,450.88,11487,11490,-17.083,7.8694,6344.5,6347,-632.21,-635.37,3693.9,3695.3,193.49,177.06,1295.4,1296
