%"avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
-0.0044077,-0.0044077,6247.1,6247.1,7.6052,7.6052,6372.2,6372.2,-0.0048268,-0.0048268,6257.8,6257.8,-7.5974,-7.5974,6124.4,6124.4,1.7005,1.7005,69.188,69.188
-0.005065,-0.005065,6246.8,6246.8,7.6066,7.6066,6361,6361,-0.008334,-0.008334,6255.5,6255.5,-7.5959,-7.5959,6138.6,6138.6,1.7009,1.7009,60.535,60.535
-0.0069909,-0.0069909,6246.4,6246.4,7.5675,7.5675,6351.3,6351.3,-0.0088092,-0.0088092,6253.5,6253.5,-7.5567,-7.5567,6151,6151.1,1.7035,1.7035,53.013,53.013
-0.0031618,-0.0031618,6246.1,6246.1,7.5677,7.5677,6342.7,6342.7,-0.0035506,-0.0035506,6251.8,6251.8,-7.5625,-7.5625,6161.9,6161.9,1.7028,1.7028,46.492,46.493
-0.0034269,-0.0034269,6245.9,6245.9,7.5686,7.5686,6335.3,6335.3,-0.00673,-0.00673,6250.3,6250.3,-7.5615,-7.5615,6171.4,6171.4,1.7029,1.7029,40.87,40.87
-0.0012393,-0.0012393,6245.7,6245.7,7.567,7.567,6328.9,6328.9,-0.0020095,-0.0020095,6248.9,6248.9,-7.5626,-7.5626,6179.6,6179.6,1.7035,1.7035,36.074,36.075
-0.0076244,-0.0076244,6245.5,6245.5,7.5315,7.5315,6323.5,6323.5,-0.0095732,-0.0095732,6247.8,6247.8,-7.5195,-7.5195,6186.6,6186.6,1.7061,1.7061,32.052,32.053
-0.0044081,-0.0044081,6245.3,6245.3,7.5514,7.5514,6318.6,6318.6,-0.0084688,-0.0084688,6246.8,6246.8,-7.542,-7.542,6192.8,6192.8,1.7041,1.7041,28.574,28.574
-0.0031473,-0.0031473,6245.2,6245.2,7.5323,7.5323,6314.3,6314.3,-0.0035174,-0.0035174,6245.9,6245.9,-7.5271,-7.5271,6198.3,6198.3,1.705,1.705,25.601,25.602
-0.0053554,-0.0053554,6245.1,6245.1,7.519,7.519,6310.6,6310.6,-0.00732,-0.00732,6247.1,6247.1,-7.5106,-7.5106,6203,6203,1.7063,1.7063,23.096,23.096
