"avg(E)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","avg(radHeatFlux1 (0))","avg(radHeatFlux1 (1))","avg(radHeatFlux1 (2))","avg(radHeatFlux1 (Magnitude))","avg(radHeatFlux2 (0))","avg(radHeatFlux2 (1))","avg(radHeatFlux2 (2))","avg(radHeatFlux2 (Magnitude))","avg(radHeatFlux3 (0))","avg(radHeatFlux3 (1))","avg(radHeatFlux3 (2))","avg(radHeatFlux3 (Magnitude))","max(E)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","max(radHeatFlux1 (0))","max(radHeatFlux1 (1))","max(radHeatFlux1 (2))","max(radHeatFlux1 (Magnitude))","max(radHeatFlux2 (0))","max(radHeatFlux2 (1))","max(radHeatFlux2 (2))","max(radHeatFlux2 (Magnitude))","max(radHeatFlux3 (0))","max(radHeatFlux3 (1))","max(radHeatFlux3 (2))","max(radHeatFlux3 (Magnitude))","med(E)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","med(radHeatFlux1 (0))","med(radHeatFlux1 (1))","med(radHeatFlux1 (2))","med(radHeatFlux1 (Magnitude))","med(radHeatFlux2 (0))","med(radHeatFlux2 (1))","med(radHeatFlux2 (2))","med(radHeatFlux2 (Magnitude))","med(radHeatFlux3 (0))","med(radHeatFlux3 (1))","med(radHeatFlux3 (2))","med(radHeatFlux3 (Magnitude))","min(E)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","min(radHeatFlux1 (0))","min(radHeatFlux1 (1))","min(radHeatFlux1 (2))","min(radHeatFlux1 (Magnitude))","min(radHeatFlux2 (0))","min(radHeatFlux2 (1))","min(radHeatFlux2 (2))","min(radHeatFlux2 (Magnitude))","min(radHeatFlux3 (0))","min(radHeatFlux3 (1))","min(radHeatFlux3 (2))","min(radHeatFlux3 (Magnitude))"
2.8321e+06,-0.0033901,-0.0031293,30336,30336,-0.0033901,-0.0031293,30336,30336,-1.4009e-12,6.0726e-11,-4.0382e-13,4.4688e-10,0.0033901,0.0031293,-30336,30336,3.9326e+06,0.49283,0.41924,31459,31459,0.49283,0.41924,31459,31459,2.6706e-10,4.4146e-10,9.85e-10,1.114e-09,0.47225,0.46901,-29332,31459,2.8081e+06,-0.0033692,-0.0031862,30304,30304,-0.0033692,-0.0031862,30304,30304,0,0,0,3.6564e-10,0.0033692,0.0031862,-30304,30304,1.814e+06,-0.47225,-0.46901,29332,29332,-0.47225,-0.46901,29332,29332,-4.4146e-10,-2.2997e-10,-1.0947e-09,0,-0.49283,-0.41924,-31459,29332
2.8632e+06,0.0082574,0.0080688,30357,30357,0.0082574,0.0080688,30357,30357,-1.4441e-12,6.0942e-11,-4.1606e-13,4.4883e-10,-0.0082574,-0.0080688,-30357,30357,3.968e+06,0.47344,0.52657,31265,31265,0.47344,0.52657,31265,31265,2.6777e-10,4.4323e-10,9.898e-10,1.1195e-09,0.42593,0.42827,-29505,31265,2.8433e+06,0.0091505,0.0092943,30345,30345,0.0091505,0.0092943,30345,30345,0,0,0,3.6688e-10,-0.0091505,-0.0092943,-30345,30345,1.8268e+06,-0.42593,-0.42827,29505,29505,-0.42593,-0.42827,29505,29505,-4.4323e-10,-2.311e-10,-1.1001e-09,0,-0.47344,-0.52657,-31265,29505
2.8889e+06,0.0048709,0.0046682,30372,30372,0.0048709,0.0046682,30372,30372,-1.481e-12,6.1119e-11,-4.2668e-13,4.5046e-10,-0.0048709,-0.0046682,-30372,30372,3.9951e+06,0.39134,0.44849,31106,31106,0.39134,0.44849,31106,31106,2.6835e-10,4.4469e-10,9.9384e-10,1.1241e-09,0.44212,0.44464,-29649,31106,2.8727e+06,0.0058143,0.0052229,30373,30373,0.0058143,0.0052229,30373,30373,0,0,0,3.679e-10,-0.0058143,-0.0052229,-30373,30373,1.8388e+06,-0.44212,-0.44464,29649,29649,-0.44212,-0.44464,29649,29649,-4.4469e-10,-2.3205e-10,-1.1046e-09,0,-0.39134,-0.44849,-31106,29649
2.9102e+06,-0.0050921,-0.0047659,30381,30381,-0.0050921,-0.0047659,30381,30381,-1.5125e-12,6.1265e-11,-4.3612e-13,4.5181e-10,0.0050921,0.0047659,-30381,30381,4.016e+06,0.47617,0.39971,30976,30976,0.47617,0.39971,30976,30976,2.6882e-10,4.4588e-10,9.9724e-10,1.128e-09,0.47456,0.47052,-29770,30976,2.8971e+06,-0.0064934,-0.0057553,30390,30390,-0.0064934,-0.0057553,30390,30390,0,0,0,3.6872e-10,0.0064934,0.0057553,-30390,30390,1.8499e+06,-0.47456,-0.47052,29770,29770,-0.47456,-0.47052,29770,29770,-4.4588e-10,-2.3284e-10,-1.1084e-09,0,-0.47617,-0.39971,-30976,29770
2.9278e+06,-0.0069421,-0.0066526,30387,30387,-0.0069421,-0.0066526,30387,30387,-1.5391e-12,6.1384e-11,-4.4443e-13,4.5293e-10,0.0069421,0.0066526,-30387,30387,4.0322e+06,0.49854,0.41691,30869,30869,0.49854,0.41691,30869,30869,2.692e-10,4.4686e-10,1.0001e-09,1.1312e-09,0.41427,0.41427,-29871,30869,2.9173e+06,-0.0068897,-0.0062043,30400,30400,-0.0068897,-0.0062043,30400,30400,0,0,0,3.694e-10,0.0068897,0.0062043,-30400,30400,1.86e+06,-0.41427,-0.41427,29871,29871,-0.41427,-0.41427,29871,29871,-4.4686e-10,-2.3351e-10,-1.1116e-09,0,-0.49854,-0.41691,-30869,29871
2.9423e+06,0.017345,0.0172,30389,30389,0.017345,0.0172,30389,30389,-1.5616e-12,6.1481e-11,-4.5152e-13,4.5386e-10,-0.017345,-0.0172,-30389,30389,4.0448e+06,0.43778,0.47883,30782,30782,0.43778,0.47883,30782,30782,2.6951e-10,4.4767e-10,1.0025e-09,1.1339e-09,0.41229,0.41409,-29955,30782,2.934e+06,0.022332,0.02241,30405,30405,0.022332,0.02241,30405,30405,0,0,0,3.6995e-10,-0.022332,-0.02241,-30405,30405,1.869e+06,-0.41229,-0.41409,29955,29955,-0.41229,-0.41409,29955,29955,-4.4767e-10,-2.3406e-10,-1.1143e-09,0,-0.43778,-0.47883,-30782,29955
2.9543e+06,-0.0095003,-0.0094184,30391,30391,-0.0095003,-0.0094184,30391,30391,-1.5805e-12,6.1561e-11,-4.5749e-13,4.5463e-10,0.0095003,0.0094184,-30391,30391,4.0547e+06,0.41033,0.38834,30710,30710,0.41033,0.38834,30710,30710,2.6977e-10,4.4833e-10,1.0045e-09,1.1362e-09,0.43235,0.43134,-30026,30710,2.9478e+06,-0.010812,-0.010958,30407,30407,-0.010812,-0.010958,30407,30407,0,0,0,3.704e-10,0.010812,0.010958,-30407,30407,1.8771e+06,-0.43235,-0.43134,30026,30026,-0.43235,-0.43134,30026,30026,-4.4833e-10,-2.3452e-10,-1.1165e-09,0,-0.41033,-0.38834,-30710,30026
2.9642e+06,0.0019334,0.0016461,30391,30391,0.0019334,0.0016461,30391,30391,-1.5965e-12,6.1627e-11,-4.6271e-13,4.5527e-10,-0.0019334,-0.0016461,-30391,30391,4.0625e+06,0.39869,0.4797,30652,30652,0.39869,0.4797,30652,30652,2.6998e-10,4.4887e-10,1.0061e-09,1.138e-09,0.43102,0.43457,-30084,30652,2.9591e+06,0.0010207,0.00097514,30407,30407,0.0010207,0.00097514,30407,30407,0,0,0,3.7077e-10,-0.0010207,-0.00097514,-30407,30407,1.8843e+06,-0.43102,-0.43457,30084,30084,-0.43102,-0.43457,30084,30084,-4.4887e-10,-2.3491e-10,-1.1183e-09,0,-0.39869,-0.4797,-30652,30084
2.9725e+06,0.0019447,0.0022214,30390,30390,0.0019447,0.0022214,30390,30390,-1.6098e-12,6.1681e-11,-4.6719e-13,4.558e-10,-0.0019447,-0.0022214,-30390,30390,4.0687e+06,0.46388,0.38583,30604,30604,0.46388,0.38583,30604,30604,2.7015e-10,4.4932e-10,1.0075e-09,1.1396e-09,0.42915,0.42571,-30133,30604,2.9685e+06,0.0035663,0.0045115,30406,30406,0.0035663,0.0045115,30406,30406,0,0,0,3.7108e-10,-0.0035663,-0.0045115,-30406,30406,1.8906e+06,-0.42915,-0.42571,30133,30133,-0.42915,-0.42571,30133,30133,-4.4932e-10,-2.3523e-10,-1.1199e-09,0,-0.46388,-0.38583,-30604,30133
2.9793e+06,0.0061821,0.0064269,30389,30389,0.0061821,0.0064269,30389,30389,-1.621e-12,6.1725e-11,-4.7081e-13,4.5624e-10,-0.0061821,-0.0064269,-30389,30389,4.0736e+06,0.44575,0.4278,30564,30564,0.44575,0.4278,30564,30564,2.7029e-10,4.4969e-10,1.0087e-09,1.1409e-09,0.4151,0.4151,-30174,30564,2.9762e+06,0.0062696,0.0061577,30404,30404,0.0062696,0.0061577,30404,30404,0,0,0,3.7133e-10,-0.0062696,-0.0061577,-30404,30404,1.8962e+06,-0.4151,-0.4151,30174,30174,-0.4151,-0.4151,30174,30174,-4.4969e-10,-2.355e-10,-1.1212e-09,0,-0.44575,-0.4278,-30564,30174
