"N","Time","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","avg(radHeatFlux1 (0))","avg(radHeatFlux1 (1))","avg(radHeatFlux1 (2))","avg(radHeatFlux1 (Magnitude))","avg(radHeatFlux2 (0))","avg(radHeatFlux2 (1))","avg(radHeatFlux2 (2))","avg(radHeatFlux2 (Magnitude))","avg(radHeatFlux3 (0))","avg(radHeatFlux3 (1))","avg(radHeatFlux3 (2))","avg(radHeatFlux3 (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","max(radHeatFlux1 (0))","max(radHeatFlux1 (1))","max(radHeatFlux1 (2))","max(radHeatFlux1 (Magnitude))","max(radHeatFlux2 (0))","max(radHeatFlux2 (1))","max(radHeatFlux2 (2))","max(radHeatFlux2 (Magnitude))","max(radHeatFlux3 (0))","max(radHeatFlux3 (1))","max(radHeatFlux3 (2))","max(radHeatFlux3 (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","med(radHeatFlux1 (0))","med(radHeatFlux1 (1))","med(radHeatFlux1 (2))","med(radHeatFlux1 (Magnitude))","med(radHeatFlux2 (0))","med(radHeatFlux2 (1))","med(radHeatFlux2 (2))","med(radHeatFlux2 (Magnitude))","med(radHeatFlux3 (0))","med(radHeatFlux3 (1))","med(radHeatFlux3 (2))","med(radHeatFlux3 (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","min(radHeatFlux1 (0))","min(radHeatFlux1 (1))","min(radHeatFlux1 (2))","min(radHeatFlux1 (Magnitude))","min(radHeatFlux2 (0))","min(radHeatFlux2 (1))","min(radHeatFlux2 (2))","min(radHeatFlux2 (Magnitude))","min(radHeatFlux3 (0))","min(radHeatFlux3 (1))","min(radHeatFlux3 (2))","min(radHeatFlux3 (Magnitude))"
180,2600,-3.8458e-06,-3.8458e-06,696.68,696.71,-3.8458e-06,-3.8458e-06,696.68,696.71,7.1445e-14,7.1847e-13,1.1893e-13,3.6579e-12,3.8458e-06,3.8458e-06,-696.68,696.71,23.763,23.763,823.44,823.81,23.763,23.763,823.44,823.81,5.6249e-12,5.6249e-12,9.103e-12,1.0429e-11,23.763,23.763,-656.1,823.81,-1.068e-06,-1.068e-06,688.45,688.45,-1.068e-06,-1.068e-06,688.45,688.45,0,0,0,3.2491e-12,1.068e-06,1.068e-06,-688.45,688.45,-23.763,-23.763,656.1,656.11,-23.763,-23.763,656.1,656.11,-4.5515e-12,-2.6758e-12,-8.0244e-12,0,-23.763,-23.763,-823.44,656.11
180,2650,-3.1847e-06,-3.1847e-06,696.68,696.71,-3.1847e-06,-3.1847e-06,696.68,696.71,7.1328e-14,7.1877e-13,1.1892e-13,3.6606e-12,3.1847e-06,3.1847e-06,-696.68,696.71,23.731,23.731,822.34,822.7,23.731,23.731,822.34,822.7,5.6252e-12,5.6252e-12,9.1063e-12,1.0433e-11,23.731,23.731,-657.3,822.7,-1.2402e-06,-1.2402e-06,688.22,688.22,-1.2402e-06,-1.2402e-06,688.22,688.22,0,0,0,3.2527e-12,1.2402e-06,1.2402e-06,-688.22,688.22,-23.731,-23.731,657.3,657.3,-23.731,-23.731,657.3,657.3,-4.5532e-12,-2.6786e-12,-8.0289e-12,0,-23.731,-23.731,-822.34,657.3
180,2700,-2.9402e-06,-2.9402e-06,696.67,696.7,-2.9402e-06,-2.9402e-06,696.67,696.7,7.1219e-14,7.1905e-13,1.1891e-13,3.6632e-12,2.9402e-06,2.9402e-06,-696.67,696.7,23.701,23.701,821.3,821.67,23.701,23.701,821.3,821.67,5.6255e-12,5.6255e-12,9.1095e-12,1.0436e-11,23.701,23.701,-658.41,821.67,-1.3544e-06,-1.3544e-06,688.01,688.01,-1.3544e-06,-1.3544e-06,688.01,688.01,0,0,0,3.2561e-12,1.3544e-06,1.3544e-06,-688.01,688.01,-23.701,-23.701,658.41,658.42,-23.701,-23.701,658.41,658.42,-4.5547e-12,-2.6811e-12,-8.033e-12,0,-23.701,-23.701,-821.3,658.42
180,2750,-4.4769e-06,-4.4769e-06,696.67,696.7,-4.4768e-06,-4.4768e-06,696.67,696.7,7.1116e-14,7.1932e-13,1.189e-13,3.6656e-12,4.4769e-06,4.4769e-06,-696.67,696.7,23.673,23.673,820.34,820.7,23.673,23.673,820.34,820.7,5.6258e-12,5.6258e-12,9.1124e-12,1.044e-11,23.673,23.673,-659.45,820.7,-1.4214e-06,-1.4214e-06,687.82,687.82,-1.4214e-06,-1.4214e-06,687.82,687.82,0,0,0,3.2592e-12,1.4214e-06,1.4214e-06,-687.82,687.82,-23.673,-23.673,659.45,659.45,-23.673,-23.673,659.45,659.45,-4.5562e-12,-2.6835e-12,-8.0368e-12,0,-23.673,-23.673,-820.34,659.45
180,2800,-3.6735e-06,-3.6735e-06,696.67,696.7,-3.6735e-06,-3.6735e-06,696.67,696.7,7.1021e-14,7.1956e-13,1.1889e-13,3.6678e-12,3.6735e-06,3.6735e-06,-696.67,696.7,23.647,23.647,819.44,819.8,23.647,23.647,819.44,819.8,5.6261e-12,5.6261e-12,9.1151e-12,1.0443e-11,23.647,23.647,-660.41,819.8,-8.2653e-07,-8.2653e-07,687.64,687.64,-8.2653e-07,-8.2653e-07,687.64,687.64,0,0,0,3.2621e-12,8.2653e-07,8.2653e-07,-687.64,687.64,-23.647,-23.647,660.41,660.41,-23.647,-23.647,660.41,660.41,-4.5576e-12,-2.6858e-12,-8.0404e-12,0,-23.647,-23.647,-819.44,660.41
180,2850,-3.5157e-06,-3.5157e-06,696.67,696.7,-3.5157e-06,-3.5157e-06,696.67,696.7,7.0934e-14,7.1979e-13,1.1889e-13,3.6698e-12,3.5157e-06,3.5157e-06,-696.67,696.7,23.623,23.623,818.61,818.97,23.623,23.623,818.61,818.97,5.6263e-12,5.6263e-12,9.1176e-12,1.0446e-11,23.623,23.623,-661.29,818.97,-1.0537e-07,-1.0537e-07,687.47,687.47,-1.0537e-07,-1.0537e-07,687.47,687.47,0,0,0,3.2648e-12,1.0537e-07,1.0537e-07,-687.47,687.47,-23.623,-23.623,661.29,661.29,-23.623,-23.623,661.29,661.29,-4.5588e-12,-2.6878e-12,-8.0437e-12,0,-23.623,-23.623,-818.61,661.29
180,2900,-3.5018e-06,-3.5018e-06,696.66,696.69,-3.5018e-06,-3.5018e-06,696.66,696.69,7.0857e-14,7.1998e-13,1.1888e-13,3.6716e-12,3.5018e-06,3.5018e-06,-696.66,696.69,23.602,23.602,817.91,818.27,23.602,23.602,817.91,818.27,5.6265e-12,5.6265e-12,9.1197e-12,1.0448e-11,23.602,23.602,-662.09,818.27,9.72e-08,9.72e-08,687.31,687.31,9.72e-08,9.72e-08,687.31,687.31,0,0,0,3.2672e-12,-9.72e-08,-9.72e-08,-687.31,687.31,-23.602,-23.602,662.09,662.09,-23.602,-23.602,662.09,662.09,-4.5599e-12,-2.6896e-12,-8.0466e-12,0,-23.602,-23.602,-817.91,662.09
180,2950,-3.8002e-06,-3.8002e-06,696.66,696.69,-3.8002e-06,-3.8002e-06,696.66,696.69,7.0787e-14,7.2016e-13,1.1887e-13,3.6733e-12,3.8002e-06,3.8002e-06,-696.66,696.69,23.583,23.583,817.26,817.62,23.583,23.583,817.26,817.62,5.6267e-12,5.6267e-12,9.1217e-12,1.045e-11,23.583,23.583,-662.81,817.62,-2.6011e-07,-2.601e-07,687.17,687.17,-2.6011e-07,-2.601e-07,687.17,687.17,0,0,0,3.2694e-12,2.6011e-07,2.601e-07,-687.17,687.17,-23.583,-23.583,662.81,662.81,-23.583,-23.583,662.81,662.81,-4.5608e-12,-2.6913e-12,-8.0491e-12,0,-23.583,-23.583,-817.26,662.81
180,3000,-3.1758e-06,-3.1758e-06,696.66,696.69,-3.1758e-06,-3.1758e-06,696.66,696.69,7.0722e-14,7.2033e-13,1.1887e-13,3.6748e-12,3.1758e-06,3.1758e-06,-696.66,696.69,23.565,23.565,816.65,817.01,23.565,23.565,816.65,817.01,5.6269e-12,5.6269e-12,9.1236e-12,1.0452e-11,23.565,23.565,-663.48,817.01,-6.728e-07,-6.728e-07,687.04,687.04,-6.728e-07,-6.728e-07,687.04,687.04,0,0,0,3.2714e-12,6.728e-07,6.728e-07,-687.04,687.04,-23.565,-23.565,663.48,663.48,-23.565,-23.565,663.48,663.48,-4.5618e-12,-2.6928e-12,-8.0516e-12,0,-23.565,-23.565,-816.65,663.48
180,3050,-2.3135e-06,-2.3135e-06,696.66,696.69,-2.3135e-06,-2.3136e-06,696.66,696.69,7.0658e-14,7.205e-13,1.1886e-13,3.6763e-12,2.3135e-06,2.3136e-06,-696.66,696.69,23.548,23.548,816.05,816.41,23.548,23.548,816.05,816.41,5.6271e-12,5.6271e-12,9.1253e-12,1.0454e-11,23.548,23.548,-664.13,816.41,-3.516e-07,-3.5161e-07,686.91,686.91,-3.5161e-07,-3.5161e-07,686.91,686.91,0,0,0,3.2734e-12,3.516e-07,3.5161e-07,-686.91,686.91,-23.548,-23.548,664.13,664.13,-23.548,-23.548,664.13,664.13,-4.5627e-12,-2.6943e-12,-8.054e-12,0,-23.548,-23.548,-816.05,664.13
180,3100,-2.0648e-06,-2.0648e-06,696.65,696.69,-2.0648e-06,-2.0648e-06,696.65,696.69,7.0602e-14,7.2064e-13,1.1886e-13,3.6776e-12,2.0648e-06,2.0648e-06,-696.65,696.69,23.533,23.533,815.53,815.89,23.533,23.533,815.53,815.89,5.6272e-12,5.6272e-12,9.1269e-12,1.0456e-11,23.533,23.533,-664.69,815.89,-3.0807e-07,-3.0807e-07,686.8,686.8,-3.0807e-07,-3.0807e-07,686.8,686.8,0,0,0,3.2751e-12,3.0807e-07,3.0807e-07,-686.8,686.8,-23.533,-23.533,664.69,664.7,-23.533,-23.533,664.69,664.7,-4.5635e-12,-2.6956e-12,-8.0561e-12,0,-23.533,-23.533,-815.53,664.7
180,3150,-3.9081e-06,-3.9081e-06,696.65,696.68,-3.9081e-06,-3.9081e-06,696.65,696.68,7.0552e-14,7.2077e-13,1.1885e-13,3.6787e-12,3.9081e-06,3.9081e-06,-696.65,696.68,23.52,23.52,815.08,815.44,23.52,23.52,815.08,815.44,5.6274e-12,5.6274e-12,9.1283e-12,1.0458e-11,23.52,23.52,-665.21,815.44,2.6673e-07,2.6673e-07,686.69,686.69,2.6673e-07,2.6673e-07,686.69,686.69,0,0,0,3.2766e-12,-2.6673e-07,-2.6673e-07,-686.69,686.69,-23.52,-23.52,665.21,665.22,-23.52,-23.52,665.21,665.22,-4.5641e-12,-2.6968e-12,-8.0579e-12,0,-23.52,-23.52,-815.08,665.22
180,3200,-4.0133e-06,-4.0133e-06,696.65,696.68,-4.0133e-06,-4.0133e-06,696.65,696.68,7.0505e-14,7.2089e-13,1.1885e-13,3.6798e-12,4.0133e-06,4.0133e-06,-696.65,696.68,23.507,23.507,814.64,815,23.507,23.507,814.64,815,5.6275e-12,5.6275e-12,9.1296e-12,1.0459e-11,23.507,23.507,-665.7,815,2.3674e-07,2.3674e-07,686.6,686.6,2.3674e-07,2.3674e-07,686.6,686.6,0,0,0,3.2781e-12,-2.3674e-07,-2.3673e-07,-686.6,686.6,-23.507,-23.507,665.7,665.7,-23.507,-23.507,665.7,665.7,-4.5648e-12,-2.6979e-12,-8.0597e-12,0,-23.507,-23.507,-814.64,665.7
180,3250,-2.7936e-06,-2.7936e-06,696.65,696.68,-2.7936e-06,-2.7936e-06,696.65,696.68,7.0461e-14,7.21e-13,1.1885e-13,3.6809e-12,2.7936e-06,2.7936e-06,-696.65,696.68,23.495,23.495,814.23,814.59,23.495,23.495,814.23,814.59,5.6276e-12,5.6276e-12,9.1309e-12,1.0461e-11,23.495,23.495,-666.15,814.59,5.0668e-07,5.0668e-07,686.51,686.51,5.0668e-07,5.0668e-07,686.51,686.51,0,0,0,3.2794e-12,-5.0668e-07,-5.0668e-07,-686.51,686.51,-23.495,-23.495,666.15,666.15,-23.495,-23.495,666.15,666.15,-4.5654e-12,-2.699e-12,-8.0613e-12,0,-23.495,-23.495,-814.23,666.15
180,3300,-3.1218e-06,-3.1218e-06,696.65,696.68,-3.1218e-06,-3.1218e-06,696.65,696.68,7.0423e-14,7.211e-13,1.1884e-13,3.6818e-12,3.1218e-06,3.1218e-06,-696.65,696.68,23.485,23.485,813.89,814.25,23.485,23.485,813.89,814.25,5.6277e-12,5.6277e-12,9.1319e-12,1.0462e-11,23.485,23.485,-666.54,814.25,5.6362e-07,5.6362e-07,686.42,686.42,5.6362e-07,5.6362e-07,686.42,686.42,0,0,0,3.2806e-12,-5.6361e-07,-5.6362e-07,-686.42,686.42,-23.485,-23.485,666.54,666.55,-23.485,-23.485,666.54,666.55,-4.566e-12,-2.6998e-12,-8.0627e-12,0,-23.485,-23.485,-813.89,666.55
180,3350,-3.1519e-06,-3.1519e-06,696.65,696.68,-3.1519e-06,-3.1519e-06,696.65,696.68,7.0388e-14,7.2119e-13,1.1884e-13,3.6826e-12,3.1519e-06,3.1519e-06,-696.65,696.68,23.476,23.476,813.57,813.92,23.476,23.476,813.57,813.92,5.6278e-12,5.6278e-12,9.1329e-12,1.0463e-11,23.476,23.476,-666.92,813.92,8.4288e-07,8.4288e-07,686.34,686.34,8.4288e-07,8.4288e-07,686.34,686.34,0,0,0,3.2817e-12,-8.4288e-07,-8.4288e-07,-686.34,686.34,-23.476,-23.476,666.92,666.92,-23.476,-23.476,666.92,666.92,-4.5665e-12,-2.7007e-12,-8.064e-12,0,-23.476,-23.476,-813.57,666.92
180,3400,-3.0254e-06,-3.0254e-06,696.65,696.68,-3.0254e-06,-3.0254e-06,696.65,696.68,7.0355e-14,7.2127e-13,1.1883e-13,3.6834e-12,3.0254e-06,3.0254e-06,-696.65,696.68,23.467,23.467,813.27,813.63,23.467,23.467,813.27,813.63,5.6279e-12,5.6279e-12,9.1338e-12,1.0464e-11,23.467,23.467,-667.26,813.63,8.1985e-07,8.1985e-07,686.27,686.27,8.1985e-07,8.1985e-07,686.27,686.27,0,0,0,3.2827e-12,-8.1985e-07,-8.1985e-07,-686.27,686.27,-23.467,-23.467,667.26,667.26,-23.467,-23.467,667.26,667.26,-4.5669e-12,-2.7014e-12,-8.0652e-12,0,-23.467,-23.467,-813.27,667.26
180,3450,-2.4488e-06,-2.4488e-06,696.64,696.68,-2.4488e-06,-2.4488e-06,696.64,696.68,7.0325e-14,7.2134e-13,1.1883e-13,3.6841e-12,2.4488e-06,2.4488e-06,-696.64,696.68,23.459,23.459,813,813.36,23.459,23.459,813,813.36,5.628e-12,5.628e-12,9.1346e-12,1.0465e-11,23.459,23.459,-667.57,813.36,1.2046e-06,1.2046e-06,686.21,686.21,1.2046e-06,1.2046e-06,686.21,686.21,0,0,0,3.2837e-12,-1.2046e-06,-1.2046e-06,-686.21,686.21,-23.459,-23.459,667.57,667.58,-23.459,-23.459,667.57,667.58,-4.5673e-12,-2.7021e-12,-8.0663e-12,0,-23.459,-23.459,-813,667.58
180,3500,-2.2892e-06,-2.2892e-06,696.64,696.67,-2.2892e-06,-2.2892e-06,696.64,696.67,7.03e-14,7.2141e-13,1.1883e-13,3.6847e-12,2.2892e-06,2.2892e-06,-696.64,696.67,23.453,23.453,812.78,813.14,23.453,23.453,812.78,813.14,5.628e-12,5.628e-12,9.1353e-12,1.0466e-11,23.453,23.453,-667.84,813.14,1.3054e-06,1.3054e-06,686.15,686.15,1.3054e-06,1.3054e-06,686.15,686.15,0,0,0,3.2844e-12,-1.3054e-06,-1.3054e-06,-686.15,686.15,-23.453,-23.453,667.84,667.84,-23.453,-23.453,667.84,667.84,-4.5676e-12,-2.7027e-12,-8.0672e-12,0,-23.453,-23.453,-812.78,667.84
180,3550,-2.98e-06,-2.98e-06,696.64,696.67,-2.98e-06,-2.98e-06,696.64,696.67,7.0277e-14,7.2146e-13,1.1883e-13,3.6852e-12,2.98e-06,2.98e-06,-696.64,696.67,23.447,23.447,812.58,812.94,23.447,23.447,812.58,812.94,5.6281e-12,5.6281e-12,9.1359e-12,1.0466e-11,23.447,23.447,-668.08,812.94,1.4405e-06,1.4405e-06,686.09,686.09,1.4405e-06,1.4405e-06,686.09,686.09,0,0,0,3.2851e-12,-1.4405e-06,-1.4405e-06,-686.09,686.09,-23.447,-23.447,668.08,668.09,-23.447,-23.447,668.08,668.09,-4.568e-12,-2.7033e-12,-8.068e-12,0,-23.447,-23.447,-812.58,668.09
180,3600,-2.7019e-06,-2.7019e-06,696.64,696.67,-2.7019e-06,-2.7019e-06,696.64,696.67,7.0256e-14,7.2152e-13,1.1882e-13,3.6857e-12,2.7019e-06,2.7019e-06,-696.64,696.67,23.442,23.442,812.4,812.76,23.442,23.442,812.4,812.76,5.6281e-12,5.6281e-12,9.1365e-12,1.0467e-11,23.442,23.442,-668.31,812.76,1.7283e-06,1.7283e-06,686.04,686.04,1.7283e-06,1.7283e-06,686.04,686.04,0,0,0,3.2858e-12,-1.7283e-06,-1.7283e-06,-686.04,686.04,-23.442,-23.442,668.31,668.31,-23.442,-23.442,668.31,668.31,-4.5682e-12,-2.7038e-12,-8.0688e-12,0,-23.442,-23.442,-812.4,668.31
180,3650,-1.643e-06,-1.643e-06,696.64,696.67,-1.643e-06,-1.643e-06,696.64,696.67,7.024e-14,7.2156e-13,1.1882e-13,3.6861e-12,1.643e-06,1.6431e-06,-696.64,696.67,23.438,23.438,812.27,812.62,23.438,23.438,812.27,812.62,5.6282e-12,5.6282e-12,9.1369e-12,1.0468e-11,23.438,23.438,-668.48,812.62,2.0755e-06,2.0755e-06,686,686,2.0755e-06,2.0755e-06,686,686,0,0,0,3.2863e-12,-2.0755e-06,-2.0755e-06,-686,686,-23.438,-23.438,668.48,668.49,-23.438,-23.438,668.48,668.49,-4.5684e-12,-2.7041e-12,-8.0693e-12,0,-23.438,-23.438,-812.27,668.49
180,3700,-2.5633e-06,-2.5633e-06,696.64,696.67,-2.5633e-06,-2.5633e-06,696.64,696.67,7.0225e-14,7.2159e-13,1.1882e-13,3.6864e-12,2.5633e-06,2.5633e-06,-696.64,696.67,23.434,23.434,812.13,812.49,23.434,23.434,812.13,812.49,5.6282e-12,5.6282e-12,9.1373e-12,1.0468e-11,23.434,23.434,-668.66,812.49,2.3732e-06,2.3732e-06,685.96,685.96,2.3732e-06,2.3732e-06,685.96,685.96,0,0,0,3.2868e-12,-2.3732e-06,-2.3732e-06,-685.96,685.96,-23.434,-23.434,668.66,668.66,-23.434,-23.434,668.66,668.66,-4.5686e-12,-2.7045e-12,-8.0699e-12,0,-23.434,-23.434,-812.13,668.66
180,3750,-1.9011e-06,-1.9011e-06,696.64,696.67,-1.9011e-06,-1.9011e-06,696.64,696.67,7.0214e-14,7.2162e-13,1.1882e-13,3.6867e-12,1.9011e-06,1.9011e-06,-696.64,696.67,23.431,23.431,812.04,812.4,23.431,23.431,812.04,812.4,5.6282e-12,5.6282e-12,9.1375e-12,1.0468e-11,23.431,23.431,-668.77,812.4,2.6261e-06,2.6261e-06,685.93,685.93,2.6261e-06,2.6261e-06,685.93,685.93,0,0,0,3.2871e-12,-2.6261e-06,-2.6261e-06,-685.93,685.93,-23.431,-23.431,668.77,668.78,-23.431,-23.431,668.77,668.78,-4.5688e-12,-2.7047e-12,-8.0702e-12,0,-23.431,-23.431,-812.04,668.78
180,3800,-2.8527e-06,-2.8527e-06,696.64,696.67,-2.8527e-06,-2.8527e-06,696.64,696.67,7.0208e-14,7.2164e-13,1.1882e-13,3.6869e-12,2.8527e-06,2.8527e-06,-696.64,696.67,23.43,23.43,811.98,812.34,23.43,23.43,811.98,812.34,5.6283e-12,5.6283e-12,9.1377e-12,1.0469e-11,23.43,23.43,-668.85,812.34,2.7494e-06,2.7495e-06,685.91,685.91,2.7494e-06,2.7495e-06,685.91,685.91,0,0,0,3.2873e-12,-2.7494e-06,-2.7495e-06,-685.91,685.91,-23.43,-23.43,668.85,668.86,-23.43,-23.43,668.85,668.86,-4.5689e-12,-2.7049e-12,-8.0705e-12,0,-23.43,-23.43,-811.98,668.86
180,3850,-2.2579e-06,-2.2579e-06,696.64,696.67,-2.2579e-06,-2.2579e-06,696.64,696.67,7.0206e-14,7.2164e-13,1.1882e-13,3.6869e-12,2.2579e-06,2.2579e-06,-696.64,696.67,23.429,23.429,811.97,812.33,23.429,23.429,811.97,812.33,5.6283e-12,5.6283e-12,9.1378e-12,1.0469e-11,23.429,23.429,-668.87,812.33,3.0946e-06,3.0946e-06,685.91,685.91,3.0946e-06,3.0946e-06,685.91,685.91,0,0,0,3.2874e-12,-3.0946e-06,-3.0946e-06,-685.91,685.91,-23.429,-23.429,668.87,668.88,-23.429,-23.429,668.87,668.88,-4.5689e-12,-2.7049e-12,-8.0705e-12,0,-23.429,-23.429,-811.97,668.88
180,3900,-2.2579e-06,-2.2579e-06,696.64,696.67,-2.2579e-06,-2.2579e-06,696.64,696.67,7.0206e-14,7.2164e-13,1.1882e-13,3.6869e-12,2.2579e-06,2.2579e-06,-696.64,696.67,23.429,23.429,811.97,812.33,23.429,23.429,811.97,812.33,5.6283e-12,5.6283e-12,9.1378e-12,1.0469e-11,23.429,23.429,-668.87,812.33,3.0946e-06,3.0946e-06,685.91,685.91,3.0946e-06,3.0946e-06,685.91,685.91,0,0,0,3.2874e-12,-3.0946e-06,-3.0946e-06,-685.91,685.91,-23.429,-23.429,668.87,668.88,-23.429,-23.429,668.87,668.88,-4.5689e-12,-2.7049e-12,-8.0705e-12,0,-23.429,-23.429,-811.97,668.88
180,3950,-2.2579e-06,-2.2579e-06,696.64,696.67,-2.2579e-06,-2.2579e-06,696.64,696.67,7.0206e-14,7.2164e-13,1.1882e-13,3.6869e-12,2.2579e-06,2.2579e-06,-696.64,696.67,23.429,23.429,811.97,812.33,23.429,23.429,811.97,812.33,5.6283e-12,5.6283e-12,9.1378e-12,1.0469e-11,23.429,23.429,-668.87,812.33,3.0946e-06,3.0946e-06,685.91,685.91,3.0946e-06,3.0946e-06,685.91,685.91,0,0,0,3.2874e-12,-3.0946e-06,-3.0946e-06,-685.91,685.91,-23.429,-23.429,668.87,668.88,-23.429,-23.429,668.87,668.88,-4.5689e-12,-2.7049e-12,-8.0705e-12,0,-23.429,-23.429,-811.97,668.88
180,4000,-2.2579e-06,-2.2579e-06,696.64,696.67,-2.2579e-06,-2.2579e-06,696.64,696.67,7.0206e-14,7.2164e-13,1.1882e-13,3.6869e-12,2.2579e-06,2.2579e-06,-696.64,696.67,23.429,23.429,811.97,812.33,23.429,23.429,811.97,812.33,5.6283e-12,5.6283e-12,9.1378e-12,1.0469e-11,23.429,23.429,-668.87,812.33,3.0946e-06,3.0946e-06,685.91,685.91,3.0946e-06,3.0946e-06,685.91,685.91,0,0,0,3.2874e-12,-3.0946e-06,-3.0946e-06,-685.91,685.91,-23.429,-23.429,668.87,668.88,-23.429,-23.429,668.87,668.88,-4.5689e-12,-2.7049e-12,-8.0705e-12,0,-23.429,-23.429,-811.97,668.88
180,4050,-2.2579e-06,-2.2579e-06,696.64,696.67,-2.2579e-06,-2.2579e-06,696.64,696.67,7.0206e-14,7.2164e-13,1.1882e-13,3.6869e-12,2.2579e-06,2.2579e-06,-696.64,696.67,23.429,23.429,811.97,812.33,23.429,23.429,811.97,812.33,5.6283e-12,5.6283e-12,9.1378e-12,1.0469e-11,23.429,23.429,-668.87,812.33,3.0946e-06,3.0946e-06,685.91,685.91,3.0946e-06,3.0946e-06,685.91,685.91,0,0,0,3.2874e-12,-3.0946e-06,-3.0946e-06,-685.91,685.91,-23.429,-23.429,668.87,668.88,-23.429,-23.429,668.87,668.88,-4.5689e-12,-2.7049e-12,-8.0705e-12,0,-23.429,-23.429,-811.97,668.88
180,4100,-2.2579e-06,-2.2579e-06,696.64,696.67,-2.2579e-06,-2.2579e-06,696.64,696.67,7.0206e-14,7.2164e-13,1.1882e-13,3.6869e-12,2.2579e-06,2.2579e-06,-696.64,696.67,23.429,23.429,811.97,812.33,23.429,23.429,811.97,812.33,5.6283e-12,5.6283e-12,9.1378e-12,1.0469e-11,23.429,23.429,-668.87,812.33,3.0946e-06,3.0946e-06,685.91,685.91,3.0946e-06,3.0946e-06,685.91,685.91,0,0,0,3.2874e-12,-3.0946e-06,-3.0946e-06,-685.91,685.91,-23.429,-23.429,668.87,668.88,-23.429,-23.429,668.87,668.88,-4.5689e-12,-2.7049e-12,-8.0705e-12,0,-23.429,-23.429,-811.97,668.88
180,4150,-2.2579e-06,-2.2579e-06,696.64,696.67,-2.2579e-06,-2.2579e-06,696.64,696.67,7.0206e-14,7.2164e-13,1.1882e-13,3.6869e-12,2.2579e-06,2.2579e-06,-696.64,696.67,23.429,23.429,811.97,812.33,23.429,23.429,811.97,812.33,5.6283e-12,5.6283e-12,9.1378e-12,1.0469e-11,23.429,23.429,-668.87,812.33,3.0946e-06,3.0946e-06,685.91,685.91,3.0946e-06,3.0946e-06,685.91,685.91,0,0,0,3.2874e-12,-3.0946e-06,-3.0946e-06,-685.91,685.91,-23.429,-23.429,668.87,668.88,-23.429,-23.429,668.87,668.88,-4.5689e-12,-2.7049e-12,-8.0705e-12,0,-23.429,-23.429,-811.97,668.88
180,4200,-2.2579e-06,-2.2579e-06,696.64,696.67,-2.2579e-06,-2.2579e-06,696.64,696.67,7.0206e-14,7.2164e-13,1.1882e-13,3.6869e-12,2.2579e-06,2.2579e-06,-696.64,696.67,23.429,23.429,811.97,812.33,23.429,23.429,811.97,812.33,5.6283e-12,5.6283e-12,9.1378e-12,1.0469e-11,23.429,23.429,-668.87,812.33,3.0946e-06,3.0946e-06,685.91,685.91,3.0946e-06,3.0946e-06,685.91,685.91,0,0,0,3.2874e-12,-3.0946e-06,-3.0946e-06,-685.91,685.91,-23.429,-23.429,668.87,668.88,-23.429,-23.429,668.87,668.88,-4.5689e-12,-2.7049e-12,-8.0705e-12,0,-23.429,-23.429,-811.97,668.88
180,4250,-2.2579e-06,-2.2579e-06,696.64,696.67,-2.2579e-06,-2.2579e-06,696.64,696.67,7.0206e-14,7.2164e-13,1.1882e-13,3.6869e-12,2.2579e-06,2.2579e-06,-696.64,696.67,23.429,23.429,811.97,812.33,23.429,23.429,811.97,812.33,5.6283e-12,5.6283e-12,9.1378e-12,1.0469e-11,23.429,23.429,-668.87,812.33,3.0946e-06,3.0946e-06,685.91,685.91,3.0946e-06,3.0946e-06,685.91,685.91,0,0,0,3.2874e-12,-3.0946e-06,-3.0946e-06,-685.91,685.91,-23.429,-23.429,668.87,668.88,-23.429,-23.429,668.87,668.88,-4.5689e-12,-2.7049e-12,-8.0705e-12,0,-23.429,-23.429,-811.97,668.88
180,4300,-2.2579e-06,-2.2579e-06,696.64,696.67,-2.2579e-06,-2.2579e-06,696.64,696.67,7.0206e-14,7.2164e-13,1.1882e-13,3.6869e-12,2.2579e-06,2.2579e-06,-696.64,696.67,23.429,23.429,811.97,812.33,23.429,23.429,811.97,812.33,5.6283e-12,5.6283e-12,9.1378e-12,1.0469e-11,23.429,23.429,-668.87,812.33,3.0946e-06,3.0946e-06,685.91,685.91,3.0946e-06,3.0946e-06,685.91,685.91,0,0,0,3.2874e-12,-3.0946e-06,-3.0946e-06,-685.91,685.91,-23.429,-23.429,668.87,668.88,-23.429,-23.429,668.87,668.88,-4.5689e-12,-2.7049e-12,-8.0705e-12,0,-23.429,-23.429,-811.97,668.88
