"avg(E)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","avg(radHeatFlux1 (0))","avg(radHeatFlux1 (1))","avg(radHeatFlux1 (2))","avg(radHeatFlux1 (Magnitude))","avg(radHeatFlux2 (0))","avg(radHeatFlux2 (1))","avg(radHeatFlux2 (2))","avg(radHeatFlux2 (Magnitude))","avg(radHeatFlux3 (0))","avg(radHeatFlux3 (1))","avg(radHeatFlux3 (2))","avg(radHeatFlux3 (Magnitude))","max(E)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","max(radHeatFlux1 (0))","max(radHeatFlux1 (1))","max(radHeatFlux1 (2))","max(radHeatFlux1 (Magnitude))","max(radHeatFlux2 (0))","max(radHeatFlux2 (1))","max(radHeatFlux2 (2))","max(radHeatFlux2 (Magnitude))","max(radHeatFlux3 (0))","max(radHeatFlux3 (1))","max(radHeatFlux3 (2))","max(radHeatFlux3 (Magnitude))","med(E)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","med(radHeatFlux1 (0))","med(radHeatFlux1 (1))","med(radHeatFlux1 (2))","med(radHeatFlux1 (Magnitude))","med(radHeatFlux2 (0))","med(radHeatFlux2 (1))","med(radHeatFlux2 (2))","med(radHeatFlux2 (Magnitude))","med(radHeatFlux3 (0))","med(radHeatFlux3 (1))","med(radHeatFlux3 (2))","med(radHeatFlux3 (Magnitude))","min(E)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","min(radHeatFlux1 (0))","min(radHeatFlux1 (1))","min(radHeatFlux1 (2))","min(radHeatFlux1 (Magnitude))","min(radHeatFlux2 (0))","min(radHeatFlux2 (1))","min(radHeatFlux2 (2))","min(radHeatFlux2 (Magnitude))","min(radHeatFlux3 (0))","min(radHeatFlux3 (1))","min(radHeatFlux3 (2))","min(radHeatFlux3 (Magnitude))"
1.8174e+05,0.0053155,0.0053754,49395,49395,0.0053155,0.0053754,49395,49395,-1.0858e-10,4.0732e-10,-4.9813e-11,4.8374e-09,-0.0053155,-0.0053754,-49395,49395,1.8217e+05,0.062383,0.063552,50527,50527,0.062383,0.063552,50527,50527,3.2554e-09,3.2554e-09,1.3329e-08,1.5078e-08,0.054317,0.054316,-48367,50527,1.8174e+05,0.0015952,0.0011277,49365,49365,0.0015952,0.0011277,49365,49365,0,0,0,3.6175e-09,-0.0015952,-0.0011277,-49365,49365,1.8138e+05,-0.054317,-0.054316,48367,48367,-0.054317,-0.054316,48367,48367,-4.8236e-09,-3.1369e-09,-1.5003e-08,0,-0.062383,-0.063552,-50527,48367
1.8421e+05,0.0015395,0.001453,49396,49396,0.0015395,0.001453,49396,49396,-1.0863e-10,4.0748e-10,-4.9835e-11,4.8394e-09,-0.0015395,-0.001453,-49396,49396,1.8502e+05,0.027879,0.027498,50504,50504,0.027879,0.027498,50504,50504,3.2567e-09,3.2567e-09,1.3335e-08,1.5084e-08,0.030056,0.030062,-48389,50504,1.8421e+05,0.001296,0.0014161,49367,49367,0.001296,0.0014161,49367,49367,0,0,0,3.6189e-09,-0.001296,-0.0014161,-49367,49367,1.8347e+05,-0.030056,-0.030062,48389,48389,-0.030056,-0.030062,48389,48389,-4.8255e-09,-3.1382e-09,-1.5009e-08,0,-0.027879,-0.027498,-50504,48389
1.8666e+05,-0.007749,-0.0077299,49398,49398,-0.007749,-0.0077299,49398,49398,-1.0868e-10,4.0764e-10,-4.9853e-11,4.8414e-09,0.007749,0.0077299,-49398,49398,1.8785e+05,0.086745,0.086033,50483,50483,0.086745,0.086033,50483,50483,3.258e-09,3.258e-09,1.334e-08,1.509e-08,0.063418,0.063435,-48411,50483,1.8665e+05,-0.0078871,-0.0084436,49369,49369,-0.0078871,-0.0084436,49369,49369,0,0,0,3.6203e-09,0.0078871,0.0084436,-49369,49369,1.8554e+05,-0.063418,-0.063435,48411,48411,-0.063418,-0.063435,48411,48411,-4.8274e-09,-3.1394e-09,-1.5015e-08,0,-0.086745,-0.086033,-50483,48411
1.8908e+05,-0.0039682,-0.0040471,49399,49399,-0.0039682,-0.0040471,49399,49399,-1.0873e-10,4.0779e-10,-4.9876e-11,4.8433e-09,0.0039682,0.0040471,-49399,49399,1.9065e+05,0.024619,0.038663,50462,50462,0.024619,0.038663,50462,50462,3.2592e-09,3.2592e-09,1.3346e-08,1.5096e-08,0.037115,0.039023,-48433,50462,1.8907e+05,-0.0018403,-0.0020515,49371,49371,-0.0018403,-0.0020515,49371,49371,0,0,0,3.6217e-09,0.0018403,0.0020515,-49371,49371,1.8759e+05,-0.037115,-0.039023,48433,48433,-0.037115,-0.039023,48433,48433,-4.8292e-09,-3.1407e-09,-1.5022e-08,0,-0.024619,-0.038663,-50462,48433
1.9147e+05,0.00022676,0.00017733,49400,49400,0.00022676,0.00017733,49400,49400,-1.0878e-10,4.0795e-10,-4.9894e-11,4.8453e-09,-0.00022676,-0.00017733,-49400,49400,1.9342e+05,0.023431,0.02778,50440,50440,0.023431,0.02778,50440,50440,3.2604e-09,3.2604e-09,1.3351e-08,1.5103e-08,0.014722,0.020062,-48455,50440,1.9146e+05,0.0001543,0.00027149,49373,49373,0.0001543,0.00027149,49373,49373,0,0,0,3.6231e-09,-0.0001543,-0.00027149,-49373,49373,1.8961e+05,-0.014722,-0.020062,48455,48455,-0.014722,-0.020062,48455,48455,-4.8312e-09,-3.1419e-09,-1.5028e-08,0,-0.023431,-0.02778,-50440,48455
1.9383e+05,-0.00033687,-0.00036788,49401,49401,-0.00033687,-0.00036788,49401,49401,-1.0882e-10,4.081e-10,-4.9913e-11,4.8472e-09,0.00033687,0.00036788,-49401,49401,1.9616e+05,0.019313,0.017831,50419,50419,0.019313,0.017831,50419,50419,3.2617e-09,3.2617e-09,1.3356e-08,1.5109e-08,0.020481,0.023837,-48476,50419,1.9382e+05,-9.8381e-05,-0.00029893,49375,49375,-9.8382e-05,-0.00029893,49375,49375,0,0,0,3.6244e-09,9.838e-05,0.00029893,-49375,49375,1.916e+05,-0.020481,-0.023837,48476,48476,-0.020481,-0.023837,48476,48476,-4.833e-09,-3.1431e-09,-1.5034e-08,0,-0.019313,-0.017831,-50419,48476
1.9616e+05,-0.0013636,-0.001335,49402,49402,-0.0013636,-0.001335,49402,49402,-1.0887e-10,4.0826e-10,-4.9933e-11,4.8491e-09,0.0013636,0.001335,-49402,49402,1.9887e+05,0.024847,0.024844,50397,50397,0.024847,0.024844,50397,50397,3.2629e-09,3.2629e-09,1.3362e-08,1.5115e-08,0.036049,0.036054,-48498,50397,1.9614e+05,-0.0010975,-0.0011379,49376,49376,-0.0010975,-0.0011379,49376,49376,0,0,0,3.6258e-09,0.0010975,0.0011379,-49376,49376,1.9356e+05,-0.036049,-0.036054,48498,48498,-0.036049,-0.036054,48498,48498,-4.8348e-09,-3.1444e-09,-1.504e-08,0,-0.024847,-0.024844,-50397,48498
1.9846e+05,-0.0018969,-0.0017213,49404,49404,-0.0018969,-0.0017213,49404,49404,-1.0892e-10,4.0841e-10,-4.9954e-11,4.8509e-09,0.0018969,0.0017213,-49404,49404,2.0154e+05,0.030703,0.03789,50377,50377,0.030703,0.03789,50377,50377,3.2641e-09,3.2641e-09,1.3367e-08,1.5121e-08,0.052337,0.044987,-48518,50377,1.9844e+05,-0.00064122,-0.0010394,49378,49378,-0.00064122,-0.0010394,49378,49378,0,0,0,3.6271e-09,0.00064122,0.0010394,-49378,49378,1.955e+05,-0.052337,-0.044987,48518,48518,-0.052337,-0.044987,48518,48518,-4.8366e-09,-3.1456e-09,-1.5046e-08,0,-0.030703,-0.03789,-50377,48518
2.0073e+05,-0.0051995,-0.0051507,49405,49405,-0.0051995,-0.0051507,49405,49405,-1.0896e-10,4.0855e-10,-4.9973e-11,4.8527e-09,0.0051995,0.0051507,-49405,49405,2.0418e+05,0.044025,0.039737,50357,50357,0.044025,0.039737,50357,50357,3.2652e-09,3.2652e-09,1.3372e-08,1.5126e-08,0.058841,0.047731,-48538,50357,2.0071e+05,-0.0047853,-0.0050679,49380,49380,-0.0047853,-0.0050679,49380,49380,0,0,0,3.6284e-09,0.0047853,0.0050679,-49380,49380,1.9741e+05,-0.058841,-0.047731,48538,48538,-0.058841,-0.047731,48538,48538,-4.8384e-09,-3.1467e-09,-1.5051e-08,0,-0.044025,-0.039737,-50357,48538
2.0297e+05,-0.0054555,-0.0054793,49406,49406,-0.0054555,-0.0054793,49406,49406,-1.0901e-10,4.087e-10,-4.999e-11,4.8546e-09,0.0054555,0.0054793,-49406,49406,2.0678e+05,0.030054,0.032964,50336,50336,0.030054,0.032964,50336,50336,3.2664e-09,3.2664e-09,1.3377e-08,1.5132e-08,0.043056,0.043056,-48559,50336,2.0295e+05,-0.0054217,-0.0054571,49382,49382,-0.0054217,-0.0054571,49382,49382,0,0,0,3.6298e-09,0.0054217,0.0054571,-49382,49382,1.9929e+05,-0.043056,-0.043056,48559,48559,-0.043056,-0.043056,48559,48559,-4.8401e-09,-3.1479e-09,-1.5057e-08,0,-0.030054,-0.032964,-50336,48559
