"Time","avg(qr)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(qr)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(qr)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(qr)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(qr)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(qr)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(qr)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
50,0,0.00071013,0.00071013,2852.6,2852.6,0,65.606,65.606,13235,13235,0,-0.003389,-0.003389,1110.6,1110.6,0,-65.619,-65.619,81.237,81.237,0,-0.014814,-0.014814,232.22,232.22,0,0.010322,0.010322,4270.4,4270.4,0,11.247,11.247,3695.9,3696
100,0,0.0026094,0.0026094,3044.4,3044.4,0,43.286,43.286,9732.3,9732.4,0,0.00054755,0.00054755,1984.2,1984.2,0,-43.306,-43.306,350.17,350.17,0,-0.0077029,-0.0077029,701.71,701.71,0,0.016231,0.016231,4463.1,4463.1,0,7.6413,7.6413,2879.7,2879.7
150,0,-0.024171,-0.024171,3133.3,3133.4,0,34.865,34.865,8029,8029.1,0,-0.034898,-0.034898,2354.5,2354.5,0,-34.751,-34.751,755.63,755.63,0,-0.096497,-0.096497,1148.5,1148.5,0,0.022046,0.022046,4604.2,4604.2,0,6.1907,6.1907,2322.3,2322.3
200,0,-0.020872,-0.020872,3186.9,3186.9,0,29.988,29.988,6992.4,6992.5,0,-0.031725,-0.031725,2555.8,2555.8,0,-29.906,-29.906,1147.8,1147.8,0,-0.084483,-0.084483,1525.4,1525.4,0,0.017458,0.017458,4709.6,4709.6,0,5.3348,5.3348,1912.1,1912.2
250,0,-0.016913,-0.016913,3223,3223,0,26.76,26.76,6285.6,6285.6,0,-0.026561,-0.026561,2665.3,2665.3,0,-26.699,-26.699,1507.8,1507.8,0,-0.074646,-0.074646,1832.4,1832.4,0,0.017466,0.017466,4648.9,4648.9,0,4.765,4.765,1602.5,1602.5
300,0,-0.013853,-0.013853,3248.8,3248.8,0,24.452,24.452,5772.1,5772.2,0,-0.021054,-0.021054,2681.4,2681.4,0,-24.406,-24.406,1784.9,1784.9,0,-0.059889,-0.059889,2041.1,2041.1,0,0.013213,0.013213,4540,4540,0,4.3585,4.3585,1365.9,1365.9
350,0,-0.011518,-0.011518,3267.8,3267.8,0,22.726,22.726,5384.2,5384.3,0,-0.01642,-0.01642,2744.7,2744.7,0,-22.69,-22.69,1997.6,1997.6,0,-0.05147,-0.05147,2196.6,2196.6,0,0.0091404,0.0091404,4423.7,4423.7,0,4.0574,4.0574,1182.7,1182.7
400,0,-0.0096993,-0.0096993,3282,3282,0,21.397,21.397,5083.4,5083.5,0,-0.013971,-0.013971,2925.8,2925.8,0,-21.368,-21.368,2157.7,2157.7,0,-0.04288,-0.04288,2316.6,2316.6,0,0.005864,0.005864,4313.9,4313.9,0,3.8295,3.8295,1038.5,1038.6
450,0,-0.0082581,-0.0082581,3292.6,3292.6,0,20.35,20.35,4845.3,4845.4,0,-0.011836,-0.011836,3069.2,3069.2,0,-20.327,-20.327,2269.5,2269.5,0,-0.035283,-0.035283,2390.9,2390.9,0,0.0065463,0.0065463,4214.6,4214.6,0,3.655,3.655,922.68,922.68
500,0,-0.0071008,-0.0071008,3300.5,3300.5,0,19.511,19.511,4653.7,4653.7,0,-0.010082,-0.010082,3170.9,3170.9,0,-19.492,-19.492,2339.8,2339.8,0,-0.029486,-0.029486,2450,2450,0,0.0059927,0.0059927,4126.2,4126.2,0,3.5207,3.5207,827.44,827.45
