"avg(E)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","avg(radHeatFlux1 (0))","avg(radHeatFlux1 (1))","avg(radHeatFlux1 (2))","avg(radHeatFlux1 (Magnitude))","avg(radHeatFlux2 (0))","avg(radHeatFlux2 (1))","avg(radHeatFlux2 (2))","avg(radHeatFlux2 (Magnitude))","avg(radHeatFlux3 (0))","avg(radHeatFlux3 (1))","avg(radHeatFlux3 (2))","avg(radHeatFlux3 (Magnitude))","max(E)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","max(radHeatFlux1 (0))","max(radHeatFlux1 (1))","max(radHeatFlux1 (2))","max(radHeatFlux1 (Magnitude))","max(radHeatFlux2 (0))","max(radHeatFlux2 (1))","max(radHeatFlux2 (2))","max(radHeatFlux2 (Magnitude))","max(radHeatFlux3 (0))","max(radHeatFlux3 (1))","max(radHeatFlux3 (2))","max(radHeatFlux3 (Magnitude))","med(E)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","med(radHeatFlux1 (0))","med(radHeatFlux1 (1))","med(radHeatFlux1 (2))","med(radHeatFlux1 (Magnitude))","med(radHeatFlux2 (0))","med(radHeatFlux2 (1))","med(radHeatFlux2 (2))","med(radHeatFlux2 (Magnitude))","med(radHeatFlux3 (0))","med(radHeatFlux3 (1))","med(radHeatFlux3 (2))","med(radHeatFlux3 (Magnitude))","min(E)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","min(radHeatFlux1 (0))","min(radHeatFlux1 (1))","min(radHeatFlux1 (2))","min(radHeatFlux1 (Magnitude))","min(radHeatFlux2 (0))","min(radHeatFlux2 (1))","min(radHeatFlux2 (2))","min(radHeatFlux2 (Magnitude))","min(radHeatFlux3 (0))","min(radHeatFlux3 (1))","min(radHeatFlux3 (2))","min(radHeatFlux3 (Magnitude))"
1.0031e+07,0.0083375,0.0083375,9298.5,9298.5,0.0083375,0.0083375,9298.5,9298.5,-6.2763e-13,6.043e-12,-1.5582e-13,5.5229e-11,-0.0083375,-0.0083375,-9298.5,9298.5,1.711e+07,9.9377,9.9377,24374,24374,9.9377,9.9377,24374,24374,3.4057e-11,4.7515e-11,1.1277e-10,1.3899e-10,9.9168,9.9168,-4318.6,24374,9.2432e+06,0.004961,0.004961,7018.5,7018.5,0.004961,0.004961,7018.5,7018.5,0,0,0,4.8163e-11,-0.004961,-0.004961,-7018.5,7018.5,6.574e+06,-9.9168,-9.9168,4318.6,4318.6,-9.9168,-9.9168,4318.6,4318.6,-4.2416e-11,-3.3234e-11,-1.3803e-10,0,-9.9377,-9.9377,-24374,4318.6
1.1136e+07,0.0019223,0.0019223,10194,10194,0.0019223,0.0019223,10194,10194,-4.6479e-13,6.8226e-12,-5.8486e-14,5.7826e-11,-0.0019223,-0.0019223,-10194,10194,2.1115e+07,8.0083,8.0083,19855,19855,8.0083,8.0083,19855,19855,3.6849e-11,5.1133e-11,1.0912e-10,1.3425e-10,8.0206,8.0206,-6144.5,19855,9.9622e+06,0.00063702,0.00063702,8333.8,8333.8,0.00063702,0.00063702,8333.8,8333.8,0,0,0,5.2583e-11,-0.00063702,-0.00063702,-8333.8,8333.8,5.5204e+06,-8.0206,-8.0206,6144.5,6144.5,-8.0206,-8.0206,6144.5,6144.5,-4.8554e-11,-3.6381e-11,-1.3333e-10,0,-8.0083,-8.0083,-19855,6144.5
1.1958e+07,-0.006382,-0.006382,10665,10665,-0.006382,-0.006382,10665,10665,-4.5268e-13,7.3593e-12,2.5345e-15,6.0411e-11,0.006382,0.006382,-10665,10665,2.2712e+07,6.2817,6.2817,17092,17092,6.2817,6.2817,17092,17092,3.8376e-11,5.4725e-11,1.1454e-10,1.336e-10,6.2195,6.2195,-7406.7,17092,1.0784e+07,-0.01062,-0.01062,9087.9,9087.9,-0.01062,-0.01062,9087.9,9087.9,0,0,0,5.3453e-11,0.01062,0.01062,-9087.9,9087.9,4.9802e+06,-6.2195,-6.2195,7406.7,7406.7,-6.2195,-6.2195,7406.7,7406.7,-5.3083e-11,-3.9293e-11,-1.3268e-10,0,-6.2817,-6.2817,-17092,7406.7
1.2576e+07,0.0096589,0.0096589,10920,10920,0.0096589,0.0096589,10920,10920,-5.061e-13,7.7237e-12,3.7097e-14,6.2727e-11,-0.0096589,-0.0096589,-10920,10920,2.3481e+07,5.2845,5.2845,15394,15394,5.2845,5.2845,15394,15394,3.9269e-11,5.7921e-11,1.2079e-10,1.3517e-10,5.3278,5.3278,-8216.6,15394,1.1574e+07,0.014559,0.014559,10124,10124,0.014559,0.014559,10124,10124,0,0,0,5.5515e-11,-0.014559,-0.014559,-10124,10124,4.6971e+06,-5.3278,-5.3278,8216.6,8216.6,-5.3278,-5.3278,8216.6,8216.6,-5.6262e-11,-4.175e-11,-1.3425e-10,0,-5.2845,-5.2845,-15394,8216.6
1.3052e+07,0.015151,0.015151,11062,11062,0.015151,0.015151,11062,11062,-5.8101e-13,7.9751e-12,5.3699e-14,6.4726e-11,-0.015151,-0.015151,-11062,11062,2.3923e+07,4.767,4.767,14299,14299,4.767,4.767,14299,14299,3.9833e-11,6.0603e-11,1.2504e-10,1.3916e-10,4.9312,4.9312,-8743.3,14299,1.2257e+07,0.01757,0.01757,10725,10725,0.01757,0.01757,10725,10725,0,0,0,5.6689e-11,-0.01757,-0.01757,-10725,10725,4.5599e+06,-4.9312,-4.9312,8743.3,8743.3,-4.9312,-4.9312,8743.3,8743.3,-5.8486e-11,-4.3727e-11,-1.369e-10,0,-4.767,-4.767,-14299,8743.3
1.3426e+07,-0.0051113,-0.0051113,11141,11141,-0.0051113,-0.0051113,11141,11141,-6.5809e-13,8.1532e-12,5.8985e-14,6.6426e-11,0.0051113,0.0051113,-11141,11141,2.4205e+07,4.5066,4.5066,13555,13555,4.5066,4.5066,13555,13555,4.0212e-11,6.2788e-11,1.2802e-10,1.4334e-10,4.4563,4.4563,-9093.9,13555,1.2814e+07,0.0014836,0.0014836,11051,11051,0.0014836,0.0014836,11051,11051,0,0,0,5.8365e-11,-0.0014836,-0.0014836,-11051,11051,4.5104e+06,-4.4563,-4.4563,9093.9,9093.9,-4.4563,-4.4563,9093.9,9093.9,-6.0072e-11,-4.5287e-11,-1.4056e-10,0,-4.5066,-4.5066,-13555,9093.9
1.3725e+07,-0.0032908,-0.0032908,11184,11184,-0.0032908,-0.0032908,11184,11184,-7.296e-13,8.2828e-12,5.7692e-14,6.786e-11,0.0032908,0.0032908,-11184,11184,2.4397e+07,4.2842,4.2842,13028,13028,4.2842,4.2842,13028,13028,4.0479e-11,6.4549e-11,1.3016e-10,1.4644e-10,4.2526,4.2526,-9360.5,13028,1.3258e+07,0.0057415,0.0057415,11216,11216,0.0057415,0.0057415,11216,11216,0,0,0,5.9908e-11,-0.0057415,-0.0057415,-11216,11216,4.5142e+06,-4.2526,-4.2526,9360.5,9360.5,-4.2526,-4.2526,9360.5,9360.5,-6.123e-11,-4.6512e-11,-1.436e-10,0,-4.2842,-4.2842,-13028,9360.5
1.3966e+07,-0.0068179,-0.0068179,11205,11205,-0.0068179,-0.0068179,11205,11205,-7.9289e-13,8.3795e-12,5.3132e-14,6.9065e-11,0.0068179,0.0068179,-11205,11205,2.4535e+07,4.1197,4.1197,12642,12642,4.1197,4.1197,12642,12642,4.0673e-11,6.5964e-11,1.3176e-10,1.4879e-10,4.0885,4.0885,-9610.5,12642,1.3608e+07,-0.0088574,-0.0088574,11292,11292,-0.0088574,-0.0088574,11292,11292,0,0,0,6.1203e-11,0.0088574,0.0088574,-11292,11292,4.5491e+06,-4.0885,-4.0885,9610.5,9610.5,-4.0885,-4.0885,9610.5,9610.5,-6.2097e-11,-4.7479e-11,-1.4613e-10,0,-4.1197,-4.1197,-12642,9610.5
1.4163e+07,-0.015075,-0.015075,11215,11215,-0.015075,-0.015075,11215,11215,-8.4752e-13,8.4534e-12,4.7299e-14,7.0073e-11,0.015075,0.015075,-11215,11215,2.4636e+07,4.0336,4.0336,12350,12350,4.0336,4.0336,12350,12350,4.082e-11,6.7104e-11,1.3297e-10,1.506e-10,3.9972,3.9972,-9844.1,12350,1.3885e+07,-0.018107,-0.018107,11319,11319,-0.018107,-0.018107,11319,11319,0,0,0,6.2211e-11,0.018107,0.018107,-11319,11319,4.6005e+06,-3.9972,-3.9972,9844.1,9844.1,-3.9972,-3.9972,9844.1,9844.1,-6.2761e-11,-4.8248e-11,-1.4884e-10,0,-4.0336,-4.0336,-12350,9844.1
1.4323e+07,-0.014313,-0.014313,11218,11218,-0.014313,-0.014313,11218,11218,-8.9401e-13,8.5108e-12,4.1193e-14,7.0916e-11,0.014313,0.014313,-11218,11218,2.4713e+07,3.9456,3.9456,12126,12126,3.9456,3.9456,12126,12126,4.0933e-11,6.8026e-11,1.3391e-10,1.5227e-10,3.9105,3.9105,-10055,12126,1.4106e+07,-0.011936,-0.011936,11322,11322,-0.011936,-0.011936,11322,11322,0,0,0,6.3049e-11,0.011936,0.011936,-11322,11322,4.6587e+06,-3.9105,-3.9105,10055,10055,-3.9105,-3.9105,10055,10055,-6.3278e-11,-4.8863e-11,-1.5123e-10,0,-3.9456,-3.9456,-12126,10055
