"N","Time","avg(E)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","avg(radHeatFlux1 (0))","avg(radHeatFlux1 (1))","avg(radHeatFlux1 (2))","avg(radHeatFlux1 (Magnitude))","avg(radHeatFlux2 (0))","avg(radHeatFlux2 (1))","avg(radHeatFlux2 (2))","avg(radHeatFlux2 (Magnitude))","avg(radHeatFlux3 (0))","avg(radHeatFlux3 (1))","avg(radHeatFlux3 (2))","avg(radHeatFlux3 (Magnitude))","max(E)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","max(radHeatFlux1 (0))","max(radHeatFlux1 (1))","max(radHeatFlux1 (2))","max(radHeatFlux1 (Magnitude))","max(radHeatFlux2 (0))","max(radHeatFlux2 (1))","max(radHeatFlux2 (2))","max(radHeatFlux2 (Magnitude))","max(radHeatFlux3 (0))","max(radHeatFlux3 (1))","max(radHeatFlux3 (2))","max(radHeatFlux3 (Magnitude))","med(E)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","med(radHeatFlux1 (0))","med(radHeatFlux1 (1))","med(radHeatFlux1 (2))","med(radHeatFlux1 (Magnitude))","med(radHeatFlux2 (0))","med(radHeatFlux2 (1))","med(radHeatFlux2 (2))","med(radHeatFlux2 (Magnitude))","med(radHeatFlux3 (0))","med(radHeatFlux3 (1))","med(radHeatFlux3 (2))","med(radHeatFlux3 (Magnitude))","min(E)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","min(radHeatFlux1 (0))","min(radHeatFlux1 (1))","min(radHeatFlux1 (2))","min(radHeatFlux1 (Magnitude))","min(radHeatFlux2 (0))","min(radHeatFlux2 (1))","min(radHeatFlux2 (2))","min(radHeatFlux2 (Magnitude))","min(radHeatFlux3 (0))","min(radHeatFlux3 (1))","min(radHeatFlux3 (2))","min(radHeatFlux3 (Magnitude))"
180,550,1.5045e+07,-0.11779,-0.11779,11180,11180,-0.11779,-0.11779,11180,11180,-3.7637e-12,4.401e-12,7.5958e-13,5.3972e-11,0.11779,0.11779,-11180,11180,2.5013e+07,3.521,3.521,11223,11223,3.521,3.521,11223,11223,3.7903e-11,5.4975e-11,1.3819e-10,1.6461e-10,4.8069,4.8069,-11148,11223,1.5041e+07,-0.010933,-0.010933,11182,11182,-0.010933,-0.010933,11182,11182,0,0,0,4.4193e-11,0.010933,0.010933,-11182,11182,5.0933e+06,-4.8069,-4.8069,11148,11148,-4.8069,-4.8069,11148,11148,-6.5388e-11,-5.1506e-11,-1.6348e-10,0,-3.521,-3.521,-11223,11148
180,600,1.5052e+07,-0.12667,-0.12667,11180,11180,-0.12667,-0.12667,11180,11180,-3.7658e-12,4.4024e-12,7.6009e-13,5.4004e-11,0.12667,0.12667,-11180,11180,2.5015e+07,3.4909,3.4909,11214,11214,3.4909,3.4909,11214,11214,3.791e-11,5.5e-11,1.3829e-10,1.6474e-10,4.797,4.797,-11158,11214,1.505e+07,-0.01884,-0.01884,11180,11180,-0.01884,-0.01884,11180,11180,0,0,0,4.4212e-11,0.01884,0.01884,-11180,11180,5.0985e+06,-4.797,-4.797,11158,11158,-4.797,-4.797,11158,11158,-6.5408e-11,-5.1531e-11,-1.6361e-10,0,-3.4909,-3.4909,-11214,11158
180,650,1.5056e+07,-0.14862,-0.14862,11179,11179,-0.14862,-0.14862,11179,11179,-3.767e-12,4.4033e-12,7.6038e-13,5.4023e-11,0.14862,0.14862,-11179,11179,2.5017e+07,3.506,3.506,11210,11210,3.506,3.506,11210,11210,3.7914e-11,5.5014e-11,1.3835e-10,1.6481e-10,4.8041,4.8041,-11164,11210,1.5055e+07,-0.033967,-0.033967,11180,11180,-0.033967,-0.033967,11180,11180,0,0,0,4.4223e-11,0.033967,0.033967,-11180,11180,5.1016e+06,-4.8041,-4.8041,11164,11164,-4.8041,-4.8041,11164,11164,-6.5419e-11,-5.1546e-11,-1.6368e-10,0,-3.506,-3.506,-11210,11164
180,700,1.5059e+07,-0.11525,-0.11525,11179,11179,-0.11525,-0.11525,11179,11179,-3.7677e-12,4.4038e-12,7.6053e-13,5.4034e-11,0.11525,0.11525,-11179,11179,2.5018e+07,3.51,3.51,11207,11207,3.51,3.51,11207,11207,3.7916e-11,5.5022e-11,1.3839e-10,1.6486e-10,4.7845,4.7845,-11168,11207,1.5058e+07,-0.0001041,-0.0001041,11178,11178,-0.0001041,-0.0001041,11178,11178,0,0,0,4.4229e-11,0.0001041,0.0001041,-11178,11178,5.1034e+06,-4.7845,-4.7845,11168,11168,-4.7845,-4.7845,11168,11168,-6.5426e-11,-5.1554e-11,-1.6372e-10,0,-3.51,-3.51,-11207,11168
180,750,1.506e+07,-0.11623,-0.11623,11179,11179,-0.11623,-0.11623,11179,11179,-3.7682e-12,4.4041e-12,7.6068e-13,5.4042e-11,0.11623,0.11623,-11179,11179,2.5019e+07,3.5155,3.5155,11205,11205,3.5155,3.5155,11205,11205,3.7917e-11,5.5028e-11,1.3841e-10,1.6488e-10,4.7822,4.7822,-11170,11205,1.506e+07,-0.0033999,-0.0033999,11178,11178,-0.0033999,-0.0033999,11178,11178,0,0,0,4.4233e-11,0.0033999,0.0033999,-11178,11178,5.1045e+06,-4.7822,-4.7822,11170,11170,-4.7822,-4.7822,11170,11170,-6.5431e-11,-5.156e-11,-1.6375e-10,0,-3.5155,-3.5155,-11205,11170
180,800,1.5061e+07,-0.15303,-0.15303,11179,11179,-0.15303,-0.15303,11179,11179,-3.7684e-12,4.4042e-12,7.6073e-13,5.4045e-11,0.15303,0.15303,-11179,11179,2.5019e+07,3.4814,3.4814,11204,11204,3.4814,3.4814,11204,11204,3.7918e-11,5.503e-11,1.3842e-10,1.649e-10,4.7993,4.7993,-11171,11204,1.5061e+07,-0.040132,-0.040132,11177,11177,-0.040132,-0.040132,11177,11177,0,0,0,4.4235e-11,0.040132,0.040132,-11177,11177,5.1051e+06,-4.7993,-4.7993,11171,11171,-4.7993,-4.7993,11171,11171,-6.5433e-11,-5.1563e-11,-1.6376e-10,0,-3.4814,-3.4814,-11204,11171
180,850,1.5062e+07,-0.10654,-0.10654,11179,11179,-0.10654,-0.10654,11179,11179,-3.7686e-12,4.4043e-12,7.6073e-13,5.4048e-11,0.10654,0.10654,-11179,11179,2.5019e+07,3.5391,3.5391,11203,11203,3.5391,3.5391,11203,11203,3.7919e-11,5.5032e-11,1.3843e-10,1.6491e-10,4.7877,4.7877,-11172,11203,1.5061e+07,-0.0089211,-0.0089211,11177,11177,-0.0089211,-0.0089211,11177,11177,0,0,0,4.4237e-11,0.0089211,0.0089211,-11177,11177,5.1055e+06,-4.7877,-4.7877,11172,11172,-4.7877,-4.7877,11172,11172,-6.5434e-11,-5.1565e-11,-1.6377e-10,0,-3.5391,-3.5391,-11203,11172
180,900,1.5062e+07,-0.10782,-0.10782,11179,11179,-0.10782,-0.10782,11179,11179,-3.7686e-12,4.4044e-12,7.6074e-13,5.4049e-11,0.10782,0.10782,-11179,11179,2.5019e+07,3.5398,3.5398,11203,11203,3.5398,3.5398,11203,11203,3.7919e-11,5.5033e-11,1.3843e-10,1.6491e-10,4.7873,4.7873,-11172,11203,1.5062e+07,-0.0095465,-0.0095465,11177,11177,-0.0095465,-0.0095465,11177,11177,0,0,0,4.4237e-11,0.0095465,0.0095465,-11177,11177,5.1057e+06,-4.7873,-4.7873,11172,11172,-4.7873,-4.7873,11172,11172,-6.5435e-11,-5.1565e-11,-1.6378e-10,0,-3.5398,-3.5398,-11203,11172
180,950,1.5062e+07,-0.10955,-0.10955,11179,11179,-0.10955,-0.10955,11179,11179,-3.7687e-12,4.4044e-12,7.6076e-13,5.405e-11,0.10955,0.10955,-11179,11179,2.5019e+07,3.5404,3.5404,11203,11203,3.5404,3.5404,11203,11203,3.7919e-11,5.5034e-11,1.3844e-10,1.6492e-10,4.7866,4.7866,-11173,11203,1.5062e+07,-0.010188,-0.010188,11177,11177,-0.010188,-0.010188,11177,11177,0,0,0,4.4238e-11,0.010188,0.010188,-11177,11177,5.1058e+06,-4.7866,-4.7866,11173,11173,-4.7866,-4.7866,11173,11173,-6.5436e-11,-5.1566e-11,-1.6378e-10,0,-3.5404,-3.5404,-11203,11173
180,1000,1.5062e+07,-0.10955,-0.10955,11179,11179,-0.10955,-0.10955,11179,11179,-3.7687e-12,4.4044e-12,7.6076e-13,5.405e-11,0.10955,0.10955,-11179,11179,2.5019e+07,3.5404,3.5404,11203,11203,3.5404,3.5404,11203,11203,3.7919e-11,5.5034e-11,1.3844e-10,1.6492e-10,4.7866,4.7866,-11173,11203,1.5062e+07,-0.010188,-0.010188,11177,11177,-0.010188,-0.010188,11177,11177,0,0,0,4.4238e-11,0.010188,0.010188,-11177,11177,5.1059e+06,-4.7866,-4.7866,11173,11173,-4.7866,-4.7866,11173,11173,-6.5436e-11,-5.1566e-11,-1.6378e-10,0,-3.5404,-3.5404,-11203,11173
