"Time","avg(qr)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(qr)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(qr)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(qr)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(qr)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(qr)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(qr)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
50,0,-1.6174,-1.6174,1314,1314,0,83.651,83.651,5229.3,5230.4,0,-0.042843,-0.042843,684.29,684.29,0,-108.11,-108.11,44.093,44.093,0,-0.49547,-0.49547,159.42,159.42,0,-0.0048379,-0.0048379,1880.6,1880.8,0,16.211,16.211,1522.8,1522.9
100,0,-1.1147,-1.1147,1344.1,1344.2,0,58.659,58.659,3745.6,3746.3,0,-0.11164,-0.11164,891.54,891.54,0,-75.511,-75.511,285.74,285.74,0,-0.40632,-0.40632,462.23,462.23,0,-0.026642,-0.026642,2144.3,2144.3,0,11.311,11.311,1073.9,1074
150,0,-0.8999,-0.8999,1357.4,1357.5,0,47.829,47.829,3075,3075.6,0,-0.096717,-0.096717,978.17,978.18,0,-61.56,-61.56,529.35,529.35,0,-0.28208,-0.28208,654.08,654.08,0,-0.021048,-0.021048,2091.6,2091.6,0,9.2207,9.2207,819.7,819.75
200,0,-0.77869,-0.77869,1365,1365,0,41.552,41.552,2681.1,2681.6,0,-0.071536,-0.071536,1106.3,1106.3,0,-53.48,-53.48,687.67,687.67,0,-0.22745,-0.22745,762.31,762.32,0,-0.0066705,-0.0066705,1987.4,1987.4,0,8.0218,8.0218,657.62,657.66
250,0,-0.70521,-0.70521,1369.6,1369.6,0,37.467,37.467,2423.1,2423.5,0,-0.06222,-0.06222,1247,1247,0,-48.223,-48.223,761.92,761.92,0,-0.20535,-0.20535,837.5,837.51,0,0.002232,0.002232,1891.8,1891.8,0,7.2639,7.2639,546.13,546.16
300,0,-0.66046,-0.66046,1372.3,1372.3,0,34.628,34.628,2243,2243.4,0,-0.060331,-0.060331,1324.5,1324.5,0,-44.57,-44.57,779.74,779.74,0,-0.198,-0.198,896.3,896.39,0,0.0062373,0.0062373,1811.6,1811.6,0,6.7669,6.7669,463.37,463.4
350,0,-0.6342,-0.6342,1373.9,1373.9,0,32.559,32.559,2111.2,2111.7,0,-0.055108,-0.055108,1365.8,1365.8,0,-41.907,-41.907,816.06,816.07,0,-0.18896,-0.18896,973.18,973.18,0,0.0089483,0.0089483,1745.2,1745.2,0,6.438,6.438,397.82,397.84
400,0,-0.61986,-0.61986,1374.7,1374.8,0,30.991,30.991,2011.1,2011.5,0,-0.046643,-0.046643,1386.4,1386.4,0,-39.888,-39.888,862.39,862.4,0,-0.18549,-0.18549,1035.8,1035.8,0,0.0095103,0.0095103,1689.9,1689.9,0,6.2221,6.2221,343.48,343.5
450,0,-0.61301,-0.61301,1375.1,1375.1,0,29.762,29.762,1932.5,1932.8,0,-0.040288,-0.040288,1395.2,1395.2,0,-38.307,-38.307,912.44,912.45,0,-0.18542,-0.18542,1086.2,1086.2,0,0.0077239,0.0077239,1643.3,1643.3,0,6.0832,6.0832,297.25,297.27
500,0,-0.61063,-0.61063,1375.2,1375.3,0,28.772,28.772,1869,1869.4,0,-0.036088,-0.036088,1397.3,1397.3,0,-37.033,-37.033,962.19,962.19,0,-0.19196,-0.19196,1127.3,1127.3,0,0.0073308,0.0073308,1603.7,1603.7,0,5.9968,5.9968,257.4,257.42
550,0,-0.61078,-0.61078,1375.2,1375.2,0,27.958,27.958,1816.7,1817.1,0,-0.031558,-0.031558,1396,1396,0,-35.985,-35.985,1009.3,1009.3,0,-0.19363,-0.19363,1161.2,1161.2,0,0.0058371,0.0058371,1569.8,1569.8,0,5.9455,5.9455,222.91,222.93
600,0,-0.61222,-0.61222,1375.1,1375.1,0,27.276,27.276,1772.9,1773.3,0,-0.028288,-0.028288,1393.1,1393.1,0,-35.108,-35.108,1052.4,1052.4,0,-0.19513,-0.19513,1189.7,1189.7,0,0.0039537,0.0039537,1540.6,1540.6,0,5.9172,5.9172,193.07,193.09
650,0,-0.61422,-0.61422,1374.9,1375,0,26.7,26.7,1735.9,1736.2,0,-0.026308,-0.026308,1389.4,1389.4,0,-34.366,-34.366,1091.2,1091.2,0,-0.19647,-0.19647,1218.9,1219,0,0.0024316,0.0024316,1515.4,1515.4,0,5.9036,5.9036,167.32,167.34
