"N","Time","avg(E)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","avg(radHeatFlux1 (0))","avg(radHeatFlux1 (1))","avg(radHeatFlux1 (2))","avg(radHeatFlux1 (Magnitude))","avg(radHeatFlux2 (0))","avg(radHeatFlux2 (1))","avg(radHeatFlux2 (2))","avg(radHeatFlux2 (Magnitude))","avg(radHeatFlux3 (0))","avg(radHeatFlux3 (1))","avg(radHeatFlux3 (2))","avg(radHeatFlux3 (Magnitude))","max(E)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","max(radHeatFlux1 (0))","max(radHeatFlux1 (1))","max(radHeatFlux1 (2))","max(radHeatFlux1 (Magnitude))","max(radHeatFlux2 (0))","max(radHeatFlux2 (1))","max(radHeatFlux2 (2))","max(radHeatFlux2 (Magnitude))","max(radHeatFlux3 (0))","max(radHeatFlux3 (1))","max(radHeatFlux3 (2))","max(radHeatFlux3 (Magnitude))","med(E)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","med(radHeatFlux1 (0))","med(radHeatFlux1 (1))","med(radHeatFlux1 (2))","med(radHeatFlux1 (Magnitude))","med(radHeatFlux2 (0))","med(radHeatFlux2 (1))","med(radHeatFlux2 (2))","med(radHeatFlux2 (Magnitude))","med(radHeatFlux3 (0))","med(radHeatFlux3 (1))","med(radHeatFlux3 (2))","med(radHeatFlux3 (Magnitude))","min(E)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","min(radHeatFlux1 (0))","min(radHeatFlux1 (1))","min(radHeatFlux1 (2))","min(radHeatFlux1 (Magnitude))","min(radHeatFlux2 (0))","min(radHeatFlux2 (1))","min(radHeatFlux2 (2))","min(radHeatFlux2 (Magnitude))","min(radHeatFlux3 (0))","min(radHeatFlux3 (1))","min(radHeatFlux3 (2))","min(radHeatFlux3 (Magnitude))"
180,50,1.8594e+05,-0.0034198,-0.0033743,46513,46513,-0.0034198,-0.0033743,46513,46513,-9.2202e-11,3.6323e-10,-5.3586e-11,4.9082e-09,0.0034198,0.0033743,-46513,46513,1.8712e+05,0.041412,0.041082,47598,47598,0.041412,0.041082,47598,47598,3.303e-09,4.8979e-09,1.3611e-08,1.3695e-08,0.065521,0.065405,-45520,47598,1.8592e+05,-0.0044152,-0.0037262,46486,46486,-0.0044152,-0.0037262,46486,46486,0,0,0,3.9647e-09,0.0044152,0.0037262,-46486,46486,1.8497e+05,-0.065521,-0.065405,45520,45520,-0.065521,-0.065405,45520,45520,-4.6469e-09,-6.1959e-09,-1.1808e-08,0,-0.041412,-0.041082,-47598,45520
180,100,1.9271e+05,-0.00067367,-0.0007147,46516,46516,-0.00067367,-0.0007147,46516,46516,-9.2328e-11,3.6364e-10,-5.3658e-11,4.9141e-09,0.00067367,0.0007147,-46516,46516,1.949e+05,0.029255,0.032835,47538,47538,0.029255,0.032835,47538,47538,3.3066e-09,4.9035e-09,1.3628e-08,1.3712e-08,0.023411,0.026317,-45582,47538,1.9269e+05,-0.0013705,-0.0014622,46491,46491,-0.0013705,-0.0014622,46491,46491,0,0,0,3.9693e-09,0.0013705,0.0014622,-46491,46491,1.9076e+05,-0.023411,-0.026317,45582,45582,-0.023411,-0.026317,45582,45582,-4.6525e-09,-6.2034e-09,-1.1823e-08,0,-0.029255,-0.032835,-47538,45582
180,150,1.9924e+05,-0.0018617,-0.0018181,46519,46519,-0.0018617,-0.0018181,46519,46519,-9.2449e-11,3.6404e-10,-5.3733e-11,4.9198e-09,0.0018617,0.0018181,-46519,46519,2.0242e+05,0.044657,0.041219,47479,47479,0.044657,0.041219,47479,47479,3.3102e-09,4.9088e-09,1.3644e-08,1.3728e-08,0.051236,0.055301,-45641,47479,1.9922e+05,-0.0029667,-0.0024618,46495,46495,-0.0029667,-0.0024618,46495,46495,0,0,0,3.9737e-09,0.0029667,0.0024618,-46495,46495,1.9632e+05,-0.051236,-0.055301,45641,45641,-0.051236,-0.055301,45641,45641,-4.658e-09,-6.2106e-09,-1.1837e-08,0,-0.044657,-0.041219,-47479,45641
180,200,2.0552e+05,0.00049408,0.0003947,46522,46522,0.00049408,0.0003947,46522,46522,-9.2566e-11,3.6442e-10,-5.3799e-11,4.9252e-09,-0.00049408,-0.0003947,-46522,46522,2.0966e+05,0.018847,0.021171,47423,47423,0.018847,0.021171,47423,47423,3.3135e-09,4.9139e-09,1.3659e-08,1.3743e-08,0.027377,0.027408,-45698,47423,2.0549e+05,-7.9124e-05,0.00012596,46500,46500,-7.9124e-05,0.00012596,46500,46500,0,0,0,3.9779e-09,7.9123e-05,-0.00012596,-46500,46500,2.0164e+05,-0.027377,-0.027408,45698,45698,-0.027377,-0.027408,45698,45698,-4.6632e-09,-6.2176e-09,-1.185e-08,0,-0.018847,-0.021171,-47423,45698
180,250,2.1152e+05,0.00036619,0.00030418,46525,46525,0.00036619,0.00030418,46525,46525,-9.2678e-11,3.6479e-10,-5.3867e-11,4.9305e-09,-0.00036619,-0.00030418,-46525,46525,2.166e+05,0.028398,0.028609,47369,47369,0.028398,0.028609,47369,47369,3.3168e-09,4.9189e-09,1.3674e-08,1.3758e-08,0.031771,0.036212,-45752,47369,2.1148e+05,-0.00018052,1.1354e-05,46505,46505,-0.00018052,1.1354e-05,46505,46505,0,0,0,3.9819e-09,0.00018052,-1.1354e-05,-46505,46505,2.0673e+05,-0.031771,-0.036212,45752,45752,-0.031771,-0.036212,45752,45752,-4.6681e-09,-6.2242e-09,-1.1863e-08,0,-0.028398,-0.028609,-47369,45752
180,300,2.1725e+05,0.0059163,0.0059758,46528,46528,0.0059163,0.0059758,46528,46528,-9.2784e-11,3.6514e-10,-5.3928e-11,4.9354e-09,-0.0059163,-0.0059758,-46528,46528,2.2322e+05,0.058233,0.058231,47318,47318,0.058233,0.058231,47318,47318,3.3199e-09,4.9235e-09,1.3688e-08,1.3772e-08,0.040923,0.040923,-45804,47318,2.172e+05,0.0042243,0.0046562,46509,46509,0.0042243,0.0046562,46509,46509,0,0,0,3.9858e-09,-0.0042243,-0.0046562,-46509,46509,2.1158e+05,-0.040923,-0.040923,45804,45804,-0.040923,-0.040923,45804,45804,-4.6729e-09,-6.2305e-09,-1.1875e-08,0,-0.058233,-0.058231,-47318,45804
180,350,2.227e+05,-0.0061615,-0.0061202,46531,46531,-0.0061615,-0.0061202,46531,46531,-9.2886e-11,3.6547e-10,-5.399e-11,4.9402e-09,0.0061615,0.0061202,-46531,46531,2.2952e+05,0.024577,0.02567,47269,47269,0.024577,0.02567,47269,47269,3.3228e-09,4.928e-09,1.3702e-08,1.3786e-08,0.034919,0.03493,-45853,47269,2.2265e+05,-0.0075459,-0.0073617,46514,46514,-0.0075459,-0.0073617,46514,46514,0,0,0,3.9894e-09,0.0075459,0.0073617,-46514,46514,2.1619e+05,-0.034919,-0.03493,45853,45853,-0.034919,-0.03493,45853,45853,-4.6774e-09,-6.2366e-09,-1.1887e-08,0,-0.024577,-0.02567,-47269,45853
180,400,2.2787e+05,0.0004976,0.00043911,46534,46534,0.0004976,0.00043911,46534,46534,-9.2982e-11,3.6578e-10,-5.4043e-11,4.9447e-09,-0.0004976,-0.00043911,-46534,46534,2.355e+05,0.015928,0.016114,47222,47222,0.015928,0.016114,47222,47222,3.3256e-09,4.9322e-09,1.3714e-08,1.3799e-08,0.014466,0.015469,-45900,47222,2.2781e+05,0.00046574,0.00068188,46518,46518,0.00046574,0.00068188,46518,46518,0,0,0,3.9929e-09,-0.00046574,-0.00068188,-46518,46518,2.2056e+05,-0.014466,-0.015469,45900,45900,-0.014466,-0.015469,45900,45900,-4.6817e-09,-6.2423e-09,-1.1898e-08,0,-0.015928,-0.016114,-47222,45900
180,450,2.3276e+05,0.003296,0.0034335,46536,46536,0.003296,0.0034335,46536,46536,-9.3074e-11,3.6608e-10,-5.41e-11,4.9489e-09,-0.003296,-0.0034335,-46536,46536,2.4115e+05,0.041618,0.041681,47178,47178,0.041618,0.041681,47178,47178,3.3282e-09,4.9362e-09,1.3726e-08,1.3811e-08,0.058727,0.075211,-45944,47178,2.327e+05,0.0029937,0.0033378,46521,46521,0.0029937,0.0033378,46521,46521,0,0,0,3.9962e-09,-0.0029937,-0.0033378,-46521,46521,2.247e+05,-0.058727,-0.075211,45944,45944,-0.058727,-0.075211,45944,45944,-4.6858e-09,-6.2477e-09,-1.1909e-08,0,-0.041618,-0.041681,-47178,45944
180,500,2.3738e+05,0.00036292,0.00037346,46538,46538,0.00036292,0.00037346,46538,46538,-9.3159e-11,3.6636e-10,-5.4148e-11,4.953e-09,-0.00036292,-0.00037346,-46538,46538,2.4648e+05,0.024603,0.024602,47137,47137,0.024603,0.024602,47137,47137,3.3307e-09,4.94e-09,1.3738e-08,1.3822e-08,0.019566,0.019444,-45986,47137,2.3731e+05,0.00027107,0.00024852,46525,46525,0.00027107,0.00024852,46525,46525,0,0,0,3.9993e-09,-0.00027107,-0.00024852,-46525,46525,2.2861e+05,-0.019566,-0.019444,45986,45986,-0.019566,-0.019444,45986,45986,-4.6896e-09,-6.2528e-09,-1.1918e-08,0,-0.024603,-0.024602,-47137,45986
