"Time","avg(qr)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(qr)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(qr)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(qr)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(qr)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(qr)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(qr)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
50,0,-1.0321,-1.0321,686.19,686.26,0,55.818,55.818,2076.1,2077.2,0,-0.034692,-0.034692,487.08,487.08,0,-70.682,-70.682,108.48,108.48,0,-0.34585,-0.34585,204.07,204.07,0,-0.0037896,-0.0037896,1029.7,1029.7,0,10.782,10.782,570.95,571.07
100,0,-0.71648,-0.71648,692.72,692.77,0,39.423,39.423,1480.6,1481.4,0,-0.020945,-0.020945,565.51,565.52,0,-49.873,-49.873,331.89,331.89,0,-0.23042,-0.23042,392.69,392.69,0,-0.0021989,-0.0021989,992.13,992.13,0,7.6024,7.6024,343.59,343.66
150,0,-0.59594,-0.59594,695.28,695.32,0,32.682,32.682,1231.8,1232.5,0,-0.017284,-0.017284,628.42,628.42,0,-41.332,-41.332,434.99,435,0,-0.18905,-0.18905,469.52,469.52,0,-0.0014954,-0.0014954,912.61,912.61,0,6.3324,6.3324,238.82,238.87
200,0,-0.54403,-0.54403,696.37,696.41,0,29.154,29.154,1100.9,1101.5,0,-0.01552,-0.01552,680.93,680.93,0,-36.865,-36.865,450.74,450.74,0,-0.17277,-0.17277,522.36,522.37,0,-0.0011072,-0.0011072,855.69,855.69,0,5.7349,5.7349,180.03,180.07
250,0,-0.52418,-0.52418,696.78,696.82,0,27.055,27.055,1022.7,1023.2,0,-0.014492,-0.014492,698.3,698.3,0,-34.207,-34.207,478.9,478.9,0,-0.16486,-0.16486,569.39,569.39,0,-0.00093294,-0.00093294,815.39,815.39,0,5.4541,5.4541,140.54,140.57
300,0,-0.51899,-0.51899,696.89,696.92,0,25.676,25.676,971.13,971.64,0,-0.01382,-0.01382,702.07,702.07,0,-32.463,-32.463,511.81,511.82,0,-0.16529,-0.16529,599.76,599.78,0,-0.00087186,-0.00087186,785.76,785.76,0,5.3319,5.3319,111.3,111.34
350,0,-0.51976,-0.51976,696.87,696.9,0,24.702,24.702,934.64,935.13,0,-0.013363,-0.013363,700.89,700.89,0,-31.231,-31.231,542.75,542.75,0,-0.16526,-0.16526,621.64,621.65,0,-0.00087815,-0.00087815,762.37,762.38,0,5.2875,5.2875,89.061,89.105
400,0,-0.52245,-0.52245,696.81,696.85,0,23.979,23.979,907.52,908,0,-0.013502,-0.013502,698.26,698.26,0,-30.316,-30.316,569.27,569.28,0,-0.16616,-0.16616,642.73,642.73,0,-0.00088539,-0.00088539,743.31,743.32,0,5.2789,5.2789,72.262,72.313
450,0,-0.5254,-0.5254,696.75,696.78,0,23.427,23.427,886.79,887.26,0,-0.013634,-0.013634,700.34,700.34,0,-29.617,-29.617,590.99,590.99,0,-0.16386,-0.16386,652.3,652.3,0,-0.00095048,-0.00095048,729.89,729.89,0,5.2852,5.2852,59.871,59.93
500,0,-0.528,-0.528,696.69,696.73,0,22.999,22.999,870.73,871.19,0,-0.013747,-0.013747,700.3,700.3,0,-29.076,-29.076,608.34,608.34,0,-0.1608,-0.1608,659.59,659.59,0,-0.00099824,-0.00099824,723.09,723.09,0,5.2967,5.2967,51.04,51.11
550,0,-0.53014,-0.53014,696.65,696.69,0,22.666,22.666,858.22,858.68,0,-0.013837,-0.013837,696.78,696.78,0,-28.655,-28.655,622.01,622.01,0,-0.15842,-0.15842,665.97,665.98,0,-0.0010361,-0.0010361,714.94,714.94,0,5.3089,5.3089,45.009,45.088
600,0,-0.53183,-0.53183,696.61,696.65,0,22.406,22.406,848.47,848.92,0,-0.013909,-0.013909,694.03,694.03,0,-28.327,-28.327,632.69,632.7,0,-0.15656,-0.15656,672.28,672.28,0,-0.0010657,-0.0010657,708.14,708.14,0,5.3201,5.3201,41.079,41.167
650,0,-0.53318,-0.53318,696.59,696.62,0,22.214,22.214,841.25,841.69,0,-0.013941,-0.013941,690.44,690.44,0,-28.083,-28.083,640.77,640.78,0,-0.15518,-0.15518,674.89,674.89,0,-0.0010878,-0.0010878,703.04,703.04,0,5.3302,5.3302,38.752,38.847
700,0,-0.53419,-0.53419,696.56,696.6,0,22.064,22.064,835.61,836.05,0,-0.013988,-0.013988,689.05,689.05,0,-27.893,-27.893,647,647.01,0,-0.15411,-0.15411,676.95,676.95,0,-0.0011075,-0.0011075,699.1,699.1,0,5.338,5.338,37.347,37.446
750,0,-0.53495,-0.53495,696.55,696.58,0,21.946,21.946,831.16,831.6,0,-0.014063,-0.014063,688.08,688.08,0,-27.743,-27.743,651.85,651.86,0,-0.15326,-0.15326,678.59,678.59,0,-0.0011219,-0.0011219,696,696,0,5.3442,5.3442,36.518,36.62
800,0,-0.53556,-0.53556,696.54,696.57,0,21.858,21.858,827.86,828.29,0,-0.014096,-0.014096,687.33,687.33,0,-27.632,-27.632,655.52,655.53,0,-0.15263,-0.15263,679.78,679.79,0,-0.0011335,-0.0011335,693.66,693.66,0,5.3494,5.3494,36.085,36.189
850,0,-0.53601,-0.53601,696.53,696.56,0,21.79,21.79,825.31,825.74,0,-0.014109,-0.014109,686.76,686.76,0,-27.546,-27.546,658.32,658.33,0,-0.15218,-0.15218,680.44,680.45,0,-0.0011417,-0.0011417,691.83,691.83,0,5.3533,5.3533,35.854,35.959
