"N","Time","avg(E)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","avg(radHeatFlux1 (0))","avg(radHeatFlux1 (1))","avg(radHeatFlux1 (2))","avg(radHeatFlux1 (Magnitude))","avg(radHeatFlux2 (0))","avg(radHeatFlux2 (1))","avg(radHeatFlux2 (2))","avg(radHeatFlux2 (Magnitude))","avg(radHeatFlux3 (0))","avg(radHeatFlux3 (1))","avg(radHeatFlux3 (2))","avg(radHeatFlux3 (Magnitude))","max(E)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","max(radHeatFlux1 (0))","max(radHeatFlux1 (1))","max(radHeatFlux1 (2))","max(radHeatFlux1 (Magnitude))","max(radHeatFlux2 (0))","max(radHeatFlux2 (1))","max(radHeatFlux2 (2))","max(radHeatFlux2 (Magnitude))","max(radHeatFlux3 (0))","max(radHeatFlux3 (1))","max(radHeatFlux3 (2))","max(radHeatFlux3 (Magnitude))","med(E)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","med(radHeatFlux1 (0))","med(radHeatFlux1 (1))","med(radHeatFlux1 (2))","med(radHeatFlux1 (Magnitude))","med(radHeatFlux2 (0))","med(radHeatFlux2 (1))","med(radHeatFlux2 (2))","med(radHeatFlux2 (Magnitude))","med(radHeatFlux3 (0))","med(radHeatFlux3 (1))","med(radHeatFlux3 (2))","med(radHeatFlux3 (Magnitude))","min(E)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","min(radHeatFlux1 (0))","min(radHeatFlux1 (1))","min(radHeatFlux1 (2))","min(radHeatFlux1 (Magnitude))","min(radHeatFlux2 (0))","min(radHeatFlux2 (1))","min(radHeatFlux2 (2))","min(radHeatFlux2 (Magnitude))","min(radHeatFlux3 (0))","min(radHeatFlux3 (1))","min(radHeatFlux3 (2))","min(radHeatFlux3 (Magnitude))"
180,50,2.1845e+06,-0.018455,-0.018455,29214,29214,-0.018455,-0.018455,29214,29214,3.5787e-12,4.6689e-11,-9.554e-12,3.9091e-10,0.018455,0.018455,-29214,29214,2.7678e+06,0.60907,0.60907,35613,35613,0.60907,0.60907,35613,35613,3.7565e-10,4.0306e-10,8.9678e-10,1.0784e-09,0.90659,0.90659,-25949,35613,2.1526e+06,-0.0048511,-0.0048511,28308,28308,-0.0048511,-0.0048511,28308,28308,0,0,0,3.4988e-10,0.0048511,0.0048511,-28308,28308,1.7262e+06,-0.90659,-0.90659,25949,25949,-0.90659,-0.90659,25949,25949,-3.0229e-10,-1.9874e-10,-1.0599e-09,0,-0.60907,-0.60907,-35613,25949
180,100,2.4966e+06,-0.031532,-0.031532,29798,29798,-0.031532,-0.031532,29798,29798,3.5818e-12,4.8706e-11,-1.0003e-11,4.0909e-10,0.031532,0.031532,-29798,29798,3.4102e+06,0.55776,0.55776,33516,33516,0.55776,0.55776,33516,33516,3.8786e-10,4.2164e-10,9.3822e-10,1.1298e-09,0.8651,0.8651,-27468,33516,2.4533e+06,-0.018749,-0.018749,29392,29392,-0.018749,-0.018749,29392,29392,0,0,0,3.6328e-10,0.018749,0.018749,-29392,29392,1.7386e+06,-0.8651,-0.8651,27468,27468,-0.8651,-0.8651,27468,27468,-3.1623e-10,-2.0822e-10,-1.1105e-09,0,-0.55776,-0.55776,-33516,27468
180,150,2.6947e+06,-0.016005,-0.016005,30077,30077,-0.016005,-0.016005,30077,30077,3.5522e-12,4.9958e-11,-1.028e-11,4.2091e-10,0.016005,0.016005,-30077,30077,3.7384e+06,0.50343,0.50343,32218,32218,0.50343,0.50343,32218,32218,3.9525e-10,4.3328e-10,9.6623e-10,1.1644e-09,0.68265,0.68265,-28484,32218,2.6593e+06,-0.0052013,-0.0052013,29919,29919,-0.0052013,-0.0052013,29919,29919,0,0,0,3.7144e-10,0.0052013,0.0052013,-29919,29919,1.7743e+06,-0.68265,-0.68265,28484,28484,-0.68265,-0.68265,28484,28484,-3.2496e-10,-2.1458e-10,-1.1444e-09,0,-0.50343,-0.50343,-32218,28484
180,200,2.8156e+06,-0.013926,-0.014298,30197,30197,-0.013926,-0.014298,30197,30197,3.5165e-12,5.0705e-11,-1.0444e-11,4.2827e-10,0.013926,0.014298,-30197,30197,3.9002e+06,0.39336,0.49786,31449,31449,0.39336,0.49786,31449,31449,3.9954e-10,4.4026e-10,9.8431e-10,1.1865e-09,0.62001,0.62461,-29133,31449,2.7919e+06,0.00072902,0.00056486,30145,30145,0.00072902,0.00056486,30145,30145,0,0,0,3.7714e-10,-0.00072902,-0.00056486,-30145,30145,1.813e+06,-0.62001,-0.62461,29133,29133,-0.62001,-0.62461,29133,29133,-3.302e-10,-2.1866e-10,-1.1662e-09,0,-0.39336,-0.49786,-31449,29133
180,250,2.8893e+06,-0.004402,-0.004631,30244,30244,-0.004402,-0.004631,30244,30244,3.4861e-12,5.115e-11,-1.054e-11,4.3283e-10,0.004402,0.004631,-30244,30244,3.9832e+06,0.45,0.51504,30992,30992,0.45,0.51504,30992,30992,4.0206e-10,4.4445e-10,9.9582e-10,1.2005e-09,0.55028,0.55313,-29542,30992,2.8746e+06,0.011683,0.011867,30234,30234,0.011683,0.011867,30234,30234,0,0,0,3.8151e-10,-0.011683,-0.011867,-30234,30234,1.8463e+06,-0.55028,-0.55313,29542,29542,-0.55028,-0.55313,29542,29542,-3.3334e-10,-2.2124e-10,-1.18e-09,0,-0.45,-0.51504,-30992,29542
180,300,2.9346e+06,-0.014337,-0.014594,30261,30261,-0.014337,-0.014594,30261,30261,3.4634e-12,5.1419e-11,-1.0598e-11,4.3566e-10,0.014337,0.014594,-30261,30261,4.0279e+06,0.41305,0.41918,30717,30717,0.41305,0.41918,30717,30717,4.0356e-10,4.4699e-10,1.0031e-09,1.2094e-09,0.58336,0.58655,-29800,30717,2.9258e+06,-0.0034132,-0.0022828,30266,30266,-0.0034132,-0.0022828,30266,30266,0,0,0,3.8429e-10,0.0034132,0.0022828,-30266,30266,1.8722e+06,-0.58336,-0.58655,29800,29800,-0.58336,-0.58655,29800,29800,-3.3524e-10,-2.2287e-10,-1.1887e-09,0,-0.41305,-0.41918,-30717,29800
180,350,2.9628e+06,-0.012026,-0.012225,30266,30266,-0.012026,-0.012225,30266,30266,3.4474e-12,5.1585e-11,-1.0633e-11,4.3744e-10,0.012026,0.012225,-30266,30266,4.0532e+06,0.40903,0.42547,30549,30549,0.40903,0.42547,30549,30549,4.0447e-10,4.4855e-10,1.0078e-09,1.215e-09,0.56726,0.5697,-29964,30549,2.9575e+06,-0.0009489,-0.0010095,30274,30274,-0.0009489,-0.0010095,30274,30274,0,0,0,3.8606e-10,0.0009489,0.0010095,-30274,30274,1.8912e+06,-0.56726,-0.5697,29964,29964,-0.56726,-0.5697,29964,29964,-3.3642e-10,-2.2391e-10,-1.1942e-09,0,-0.40903,-0.42547,-30549,29964
180,400,2.9806e+06,-0.018358,-0.018222,30267,30267,-0.018358,-0.018222,30267,30267,3.4365e-12,5.1687e-11,-1.0655e-11,4.3857e-10,0.018358,0.018222,-30267,30267,4.0679e+06,0.40977,0.40977,30444,30444,0.40977,0.40977,30444,30444,4.0504e-10,4.4953e-10,1.0108e-09,1.2186e-09,0.57237,0.57067,-30068,30444,2.9774e+06,-0.0063499,-0.0073954,30275,30275,-0.0063499,-0.0073954,30275,30275,0,0,0,3.872e-10,0.0063499,0.0073954,-30275,30275,1.9047e+06,-0.57237,-0.57067,30068,30068,-0.57237,-0.57067,30068,30068,-3.3715e-10,-2.2458e-10,-1.1977e-09,0,-0.40977,-0.40977,-30444,30068
180,450,2.9919e+06,-0.018599,-0.018557,30265,30265,-0.018599,-0.018557,30265,30265,3.4292e-12,5.1752e-11,-1.0669e-11,4.3929e-10,0.018599,0.018557,-30265,30265,4.0766e+06,0.42267,0.40972,30379,30379,0.42267,0.40972,30379,30379,4.0539e-10,4.5014e-10,1.0127e-09,1.2209e-09,0.571,0.57044,-30135,30379,2.99e+06,-0.0059159,-0.0059287,30272,30272,-0.0059159,-0.0059287,30272,30272,0,0,0,3.8793e-10,0.0059159,0.0059287,-30272,30272,1.9141e+06,-0.571,-0.57044,30135,30135,-0.571,-0.57044,30135,30135,-3.3761e-10,-2.25e-10,-1.2e-09,0,-0.42267,-0.40972,-30379,30135
180,500,2.9991e+06,-0.014449,-0.014234,30264,30264,-0.014449,-0.014234,30264,30264,3.4242e-12,5.1793e-11,-1.0677e-11,4.3975e-10,0.014449,0.014234,-30264,30264,4.0819e+06,0.43872,0.38799,30337,30337,0.43872,0.38799,30337,30337,4.0562e-10,4.5053e-10,1.014e-09,1.2224e-09,0.56685,0.56424,-30178,30337,2.998e+06,-0.0012485,-0.0015129,30269,30269,-0.0012485,-0.0015129,30269,30269,0,0,0,3.8841e-10,0.0012485,0.0015129,-30269,30269,1.9206e+06,-0.56685,-0.56424,30178,30178,-0.56685,-0.56424,30178,30178,-3.379e-10,-2.2528e-10,-1.2015e-09,0,-0.43872,-0.38799,-30337,30178
