"N","Time","avg(qr)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(qr)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(qr)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(qr)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(qr)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(qr)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(qr)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
180,50,0,1.5268e-09,1.5268e-09,5193.5,5193.5,0,0.095812,0.095812,18881,18881,0,-0.00082901,-0.00082901,3124.5,3124.5,0,-0.097364,-0.097364,888.65,888.65,0,-0.008841,-0.008841,1367.1,1367.1,0,0.0087215,0.0087215,7010.7,7010.7,0,0.029814,0.029814,5113.7,5113.7,1
180,100,0,2.2413e-09,2.2413e-09,5678.4,5678.4,0,0.091571,0.091571,14258,14258,0,0.00022758,0.00022758,4236.5,4236.5,0,-0.078815,-0.078815,1924.1,1924.1,0,-0.011864,-0.011864,2510.6,2510.6,0,0.0094532,0.0094532,7887,7887,0,0.020228,0.020228,3899.6,3899.6,1
180,150,0,6.1724e-10,6.1724e-10,5910.7,5910.7,0,0.06103,0.06103,11854,11854,0,0.00046395,0.00046395,4745.3,4745.3,0,-0.060853,-0.060853,2857.1,2857.1,0,-0.012834,-0.012834,3358.1,3358.1,0,0.013391,0.013391,8364.1,8364.1,0,0.023703,0.023703,3018.5,3018.5,1
180,200,0,-3.3308e-11,-3.3308e-11,6045.3,6045.3,0,0.046733,0.046733,10415,10415,0,-0.00036358,-0.00036358,4963.1,4963.1,0,-0.038669,-0.038669,3568.6,3568.6,0,-0.012869,-0.012869,3953.1,3953.1,0,0.0125,0.0125,8275.9,8275.9,0,0.018823,0.018823,2396.9,2396.9,1
180,250,0,-2.03e-09,-1.9787e-09,6129.7,6129.7,0,0.030113,0.030113,9467.3,9467.3,0,-0.00058489,-0.00058489,5373.7,5373.7,0,-0.026385,-0.026385,4062.9,4062.9,0,-0.0093433,-0.0093433,4347,4347,0,0.008796,0.008796,8048.5,8048.5,0,0.013355,0.013355,1952.7,1952.7,1
180,300,0,1.4368e-09,1.4368e-09,6184.2,6184.2,0,0.023983,0.023983,8805.9,8805.9,0,-0.00038677,-0.00038677,5791.4,5791.4,0,-0.022234,-0.022234,4385.1,4385.1,0,-0.0065662,-0.0065662,4580.8,4580.8,0,0.0062477,0.0062477,7812,7812,0,0.010839,0.010839,1626.2,1626.2,1
180,350,0,-4.6596e-10,-4.6596e-10,6219.5,6219.5,0,0.020959,0.020959,8325,8325,0,-0.00039656,-0.00039656,6048.4,6048.4,0,-0.019533,-0.019533,4584.9,4584.9,0,-0.0059791,-0.0059791,4770.9,4770.9,0,0.0049471,0.0049471,7599.9,7599.9,0,0.0097411,0.0097411,1377.5,1377.5,1
180,400,0,-8.179e-09,-8.179e-09,6242.2,6242.2,0,0.1092,0.1092,7964,7964,0,0.0013746,0.0013746,6202.4,6202.4,0,-0.11192,-0.11192,4696.1,4696.1,0,-0.025789,-0.025789,5030.6,5030.6,0,0.026869,0.026869,7417.2,7417.2,0,0.049873,0.049873,1181.2,1181.2,1
180,450,0,5.2615e-10,5.2615e-10,6256.3,6256.3,0,0.050423,0.050423,7685.3,7685.3,0,-0.00094845,-0.00094845,6291.7,6291.7,0,-0.049315,-0.049315,4785.3,4785.3,0,-0.020987,-0.020987,5239.4,5239.4,0,0.021607,0.021607,7261.6,7261.6,0,0.023776,0.023776,1021.3,1021.3,1
180,500,0,1.1122e-09,1.1122e-09,6264.8,6264.8,0,0.032363,0.032363,7465.3,7465.3,0,-0.00057829,-0.00057829,6340.6,6340.6,0,-0.032385,-0.032385,4894.4,4894.4,0,-0.0088951,-0.0088951,5406.4,5406.4,0,0.01046,0.01046,7129,7129,0,0.015535,0.015535,887.79,887.79,1
