%"N","Time","avg(X)","avg(Y)","avg(Z)","avg(gammaRad)","max(X)","max(Y)","max(Z)","max(gammaRad)","med(X)","med(Y)","med(Z)","med(gammaRad)","min(X)","min(Y)","min(Z)","min(gammaRad)","q1(X)","q1(Y)","q1(Z)","q1(gammaRad)","q3(X)","q3(Y)","q3(Z)","q3(gammaRad)","std(X)","std(Y)","std(Z)","std(gammaRad)","vtkValidPointMask"
176,11000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,11500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,12000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,12500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,13000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,13500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,14000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,14500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,15000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,15500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
