"N","Time","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
180,50,121.62,14.704,8768,9416.6,3422.5,2232.5,61120,61201,34.044,10.326,3343.5,3386.9,-2801.2,-5568.5,-3399.8,64.69,-43.477,-58.354,41.088,1119.1,197.07,100.83,12198,12264,604.71,671.66,13152,12725,1
180,100,86.614,8.5796,9679.7,10255,3111.1,2465.4,56595,56684,31.317,11.804,4530.1,4530.8,-3054.5,-4842.3,-3210.4,44.988,-60.741,-65.216,280.57,1280,199.87,114.38,14790,14834,612.8,683.23,13008,12590,1
180,150,71.131,3.5123,10513,11008,2870.6,2664.3,50408,50496,37.577,13.817,6075.6,6081,-3069.4,-4014.1,-2949.8,98.76,-68.134,-88.101,671.54,1551.9,190.97,131.73,17506,17744,624.76,662.82,12534,12135,1
180,200,65.548,-1.091,11105,11507,2589,2468.3,44715,44796,35.427,9.0407,7771.6,7779.9,-2893.5,-3476.8,-2613.8,62.283,-83.421,-111.74,1196.2,1633.5,202.7,144.5,19330,19399,624.19,634.58,11820,11462,1
180,250,60.434,-4.2115,11504,11811,2338.6,2433.6,40212,40287,22.138,9.7863,9495.6,9498.8,-2679.3,-3110.8,-2188.3,46.634,-95.651,-121.96,1753.3,1802.4,231.88,150.36,19710,19767,617.85,606.38,11008,10712,1
180,300,55.385,-6.634,11776,11985,2160.6,2342,36701,36769,27.198,22.243,11301,11306,-2484.2,-2833.5,-1655.1,118.57,-121.68,-133.07,2421.7,2429.9,257.65,170.65,19017,19046,607.55,578.52,10174,9960.2,1
180,350,51.149,-7.4137,11960,12078,2157.3,2219.5,33891,33954,17.231,27.405,12470,12607,-2315.1,-2612.9,-995.79,112.69,-132.28,-153.62,3216.8,3218.2,285.77,166.89,18545,18575,594.74,552.56,9352.7,9234.7,1
180,400,46.723,-6.8405,12083,12130,2106,2100.5,32191,32239,21.809,24.66,12551,12585,-2169.4,-2432,-337.75,185.37,-151.7,-177.91,4159.4,4161.7,289.59,173.92,18015,18016,580.53,529.49,8559.8,8529.1,1
180,450,41.47,-6.2067,12159,12179,2033.7,1992.9,30853,30898,25.223,28.831,13256,13269,-2043.5,-2280.2,147.13,167.86,-169.01,-193.71,5054.5,5073,283.71,189.42,17441,17446,565.41,509.47,7801.4,7806.7,1
180,500,35.802,-6.331,12197,12216,1955.1,1896.2,29534,29577,34.815,25.04,13038,13046,-1933.7,-2150.3,712.61,720.91,-191.91,-204.75,5914.7,5922.2,268.6,217.12,17402,17448,550.03,492.27,7080.6,7085.7,1
180,550,30.391,-7.305,12204,12223,1877.4,1809.2,28290,28330,27.016,20.712,12883,12911,-1837.1,-2037.5,1355.5,1362.7,-202.5,-225.76,6686.6,6693.8,268.95,207.76,16883,16888,535.25,477.75,6400.9,6405,1
180,600,25.879,-8.7495,12185,12204,1803.8,1730.4,27137,27175,24.646,27.27,12457,12496,-1751.3,-1938.2,2063.9,2071.1,-203.86,-250.94,7314,7318.8,260.62,230.69,16285,16291,521.79,465.87,5768.6,5771.5,1
180,650,22.604,-10.255,12148,12166,1735.7,1659.2,26079,26115,15.279,23.671,12399,12406,-1674.6,-1850,2692.6,2713.2,-197.82,-277.93,8007.8,8020.7,275.68,220.85,15849,15866,510.02,456.59,5192.6,5194.5,1
180,700,20.312,-11.744,12098,12116,1673.6,1595,25119,25154,9.7628,22.875,11940,11950,-1606,-1771.4,3269.8,3289.3,-213.93,-271.55,8434.8,8461.6,300,214.44,15284,15310,500.04,449.72,4683,4683.9,1
180,750,18.811,-13.187,12042,12060,1618,1537.6,24257,24291,3.9467,17.517,11825,11830,-1544.8,-1701.4,3818.6,3837.3,-219.52,-284.37,8787.6,8799.5,304.02,218.26,14922,14930,491.79,444.94,4247.3,4247.3,1
180,800,17.883,-14.604,11985,12003,1568.7,1486.8,23495,23528,12.613,9.4749,11723,11728,-1490.6,-1639.3,4320.1,4338.1,-231.53,-284.65,8897.9,8899.2,309.32,213.5,14531,14548,485.11,441.84,3888,3887.4,1
180,850,17.288,-15.962,11932,11950,1527.6,1442.5,22831,22863,0.76248,5.7209,11686,11703,-1443,-1584.6,4762.7,4780.4,-240.07,-301.27,9114.8,9171.1,303.96,212.38,14156,14158,479.83,440.01,3602.6,3601.4,1
180,900,16.863,-17.215,11885,11903,1573.7,1404.2,22261,22292,3.6044,3.6049,11472,11517,-1401.8,-1536.9,5142.8,5160.3,-248.93,-301.46,9133.9,9152.9,299.36,205.84,13926,13929,475.75,439.09,3383.5,3382,1
180,950,16.521,-18.321,11845,11863,1612.2,1371.7,21778,21808,1.197,3.3565,11622,11624,-1366.4,-1495.9,5462.6,5480,-255.96,-303.41,9194.1,9217.3,295.51,205.41,13698,13704,472.66,438.8,3220.7,3218.9,1
180,1000,16.22,-19.26,11812,11830,1644.4,1344.3,21375,21404,-2.8679,-4.7348,11481,11496,-1336.5,-1461.1,5727.5,5744.9,-257.67,-308.75,9299.9,9326.1,294.51,201.45,13411,13415,470.36,438.88,3103,3101.1,1
