"N","Time","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
180,50,51.098,-8.2338,2853.8,3188,2115.8,1396.4,39774,39790,0.3439,0.30618,5.8664,112.99,-985.62,-3916.2,-2602.4,0.19612,-1.6119,-0.33634,-17.594,9.78,13.66,18.952,872.16,1643.5,313.74,386.68,7277.1,7153.7,1
180,100,55.766,-27.949,3161.4,3507.2,1629.6,708.92,31633,31653,1.2291,0.40934,19.882,294.29,-1269.3,-2638.3,-2530.1,0.91148,-0.60911,-2.8984,-27.972,23.599,39.349,15.445,2450.5,2524.2,276.97,316.86,6652.9,6490.2,1
180,150,70.239,-31.877,3304.1,3662.5,1250.6,811.12,26280,26298,2.3437,0.39655,52.556,438.74,-1148,-2185,-2440.5,0.48924,-0.5807,-13.916,-40.649,45.9,73.16,17.658,5018.2,5037.2,254.4,292.16,6103.6,5907.6,1
180,200,66.515,-29.868,3380.1,3747.9,1069.8,724.96,22946,22962,2.8885,0.66878,117.93,685.14,-1054.8,-1885.9,-2337.9,1.0328,-1.938,-22.981,-55.449,74.971,92.461,15.669,6582.5,6591,236.94,272.47,5674.6,5449.7,1
180,250,52.795,-31.804,3429.4,3804.1,938.93,769.15,20602,20616,2.9092,1.0103,235.56,954.98,-989.33,-1695.6,-2229.1,3.0225,-6.9316,-34.179,-71.987,111.54,60.525,18.412,7051.8,7077.4,227,258.16,5336.9,5087.1,1
180,300,45.739,-34.091,3465.5,3844.7,848.72,716.31,18886,18899,2.746,0.63823,431.31,1215.5,-929.12,-1553.3,-2120.3,8.4129,-13.11,-51.142,-89.768,164.24,64.448,20.699,7249.5,7259.2,222.67,245.6,5058.1,4786.4,1
180,350,41.285,-37.717,3492.1,3873.6,783.54,672.7,17568,17581,3.9927,-0.12638,735.61,1259.8,-875.79,-1443.6,-2016.1,3.027,-19.656,-54.009,-108.02,262.51,68.591,18.868,7231.9,7251.9,215.31,235.25,4816.3,4525,1
180,400,37.471,-41.491,3511.3,3893.3,732.89,647.01,16511,16523,4.5258,-1.2384,1170.8,1495.2,-830.18,-1355.7,-1919.2,5.2994,-25.171,-57.085,-125.61,335.36,70.144,22.524,7140,7149.5,208.65,227.39,4600.2,4291.3,1
180,450,34.813,-44.052,3524.7,3905.6,691.68,626.09,15635,15646,5.7114,-2.1265,1726.1,1856,-790.84,-1283,-1830.6,4.3055,-24.907,-66.559,-140.95,407.66,77.353,24.031,7140.1,7165,203.9,221.03,4404.5,4080.1,1
180,500,32.463,-44.867,3533.6,3912.2,657.78,606.6,14889,14900,5.3744,-4.0625,2346.5,2352.4,-756.46,-1221.1,-1750.1,18.272,-26.281,-83.002,-151.91,532.12,79.279,27.451,6926.1,6932.1,200.26,215.13,4226.7,3888.4,1
180,550,30.076,-44.595,3539.5,3913.4,666.38,589.38,14244,14254,5.9984,-3.7727,2955,2962.2,-726.16,-1167.7,-1676.9,23.536,-29.294,-82.842,-155.7,584.25,81.331,28.554,6666.5,6672.4,197.38,209.5,4063.7,3714.4,1
180,600,27.833,-44.092,3543.4,3910,665.98,573.19,13677,13687,5.508,-3.2578,3366.6,3368.5,-699.21,-1120.8,-1610.1,18.3,-29.972,-87.752,-150.94,633.6,91.949,31.595,6446.2,6451.6,195.03,204.37,3912.9,3556.1,1
180,650,25.593,-43.706,3546.5,3902.8,660.89,557.81,13174,13183,4.6041,-6.4237,3712.8,3719.7,-675.02,-1079.2,-1548.3,29.327,-34.691,-94.678,-133.7,715.27,96.827,33.575,6371.2,6397.5,192.75,199.89,3772.1,3411.6,1
180,700,23.069,-43.473,3549.3,3892.7,653.35,543.3,12723,12732,3.5233,-9.9889,3909.3,3910.7,-653.16,-1042,-1490.1,13.551,-39.523,-99.119,-99.024,761.02,95.029,34.656,6246.2,6264,190.42,196.02,3639.6,3279.3,1
180,750,20.116,-43.358,3552.1,3881.1,644.45,529.68,12316,12325,3.0056,-9.8027,3933.1,3977.7,-633.29,-1008.5,-1433.7,67.446,-42.106,-108.92,-42.059,766.56,88.075,39.81,6069.2,6082.9,188.13,192.59,3513.8,3156.3,1
180,800,16.741,-43.375,3555,3865.3,634.75,516.88,11946,11955,1.6093,-9.1753,4041,4044.9,-615.12,-978.01,-1377.3,74.796,-44.425,-125.86,41.896,741.62,90.248,41.335,5902.8,5916.2,185.92,189.44,3393,3044.6,1
