"N","Time","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
180,50,80.236,22.012,29265,29311,4312.4,4711.1,69577,69732,55.994,60.833,27359,27370,-4598,-5279.9,8922.8,8963.8,-521.01,-645.05,18304,18322,716.11,481.33,36608,36656,1249,1197.6,13127,13136,1
180,100,77.987,21.46,29345,29392,4271.6,4687.3,69120,69274,57.3,54.294,27518,27529,-4582.5,-5243.6,9078.9,9120.1,-526.6,-649.72,18444,18463,722.45,487.95,36673,36718,1250.6,1197.8,12986,12995,1
180,150,74.224,20.596,29484,29531,4207.5,4653.1,68413,68566,49.602,44.928,27786,27797,-4560.6,-5185.5,9317.2,9358.7,-535.35,-657.65,18702,18713,716.29,498.94,36858,36937,1254,1198.6,12777,12785,1
180,200,69.037,19.274,29681,29728,4123.5,4609.6,67436,67588,41.886,37.205,28141,28170,-4530.2,-5102.3,9643.7,9685.8,-547.74,-668.85,19089,19095,724.08,516.61,36947,37030,1259.3,1200.2,12495,12503,1
180,250,62.886,17.355,29921,29969,4098.9,4557.3,66207,66357,36.796,41.777,28586,28607,-4489.2,-4995.9,10053,10096,-563.57,-682.54,19666,19677,749.05,537.64,37042,37123,1265.7,1202.3,12147,12153,1
180,300,56.309,14.971,30186,30234,4112.5,4497.3,64771,64919,17.999,45.95,28878,28884,-4436.3,-4869.9,10533,10576,-574.33,-697.5,20397,20408,763.18,560.05,37059,37181,1272.6,1204.3,11745,11750,1
180,350,49.769,12.434,30453,30502,4120.4,4430.8,63184,63330,10.761,48.959,29207,29216,-4371.7,-4729.1,11066,11110,-590.73,-707.94,21198,21209,773.91,582.65,37077,37131,1279.1,1206,11307,11311,1
180,400,43.62,10.024,30707,30756,4120.6,4357.7,61505,61648,14.636,48.205,29463,29490,-4296.6,-4579.1,11635,11680,-614.65,-706.51,21824,21931,792.76,605,37286,37364,1284.7,1207.3,10850,10853,1
180,450,38.09,7.8569,30935,30984,4112.3,4277.8,60384,60480,18.501,45.552,29916,29921,-4213.4,-4426.6,12225,12271,-639.17,-722.45,22618,22663,800.33,626.57,37411,37530,1289.1,1208.3,10393,10395,1
180,500,33.277,5.951,31128,31177,4095.6,4191.9,59990,60085,16.957,49.595,29899,29925,-4125.1,-4277.7,12819,12867,-663.41,-732.89,23111,23198,794.97,624.72,37317,37319,1292.3,1209,9951.4,9951.9,1
180,550,29.185,4.3116,31281,31331,4071.4,4102.2,59497,59591,19.956,53.149,30088,30129,-4034.7,-4136.9,13405,13454,-686.57,-737.18,23747,23771,783.31,625,37139,37165,1294.2,1209.5,9538.8,9538.1,1
180,600,25.746,2.8343,31396,31446,4082.6,4011.6,58926,59019,24.503,50.247,30388,30440,-3945.3,-4007.1,13971,14020,-708.03,-728.65,23907,23918,751.45,618.69,36910,36990,1295,1209.9,9165.7,9163.9,1
180,650,22.897,1.523,31473,31523,4194.2,3923,58305,58396,11.842,47.606,30655,30712,-3859.3,-3889.9,14507,14557,-727.19,-725.67,24108,24130,725.93,635.84,36383,36412,1294.9,1210.2,8838.7,8836,1
180,700,20.562,0.34236,31517,31567,4293.8,3838.8,57659,57748,15.769,49.28,30800,30828,-3778.6,-3785.6,15006,15057,-731.67,-734.76,24297,24338,708.16,653.05,36446,36470,1294,1210.4,8560.1,8556.6,1
180,750,18.646,-0.73674,31534,31585,4380.9,3878.4,57014,57102,19.739,49.027,30603,30670,-3704.5,-3693.6,15463,15515,-742.01,-749.49,24555,24668,699.62,656.74,36349,36392,1292.5,1210.7,8328.9,8324.8,1
180,800,17.084,-1.7031,31530,31581,4456.2,3976.2,56392,56479,20.865,48.26,30707,30729,-3637.7,-3613.4,15876,15928,-747.78,-757.39,25036,25056,699.71,655.41,35970,35977,1290.7,1210.9,8141.5,8137,1
180,850,15.853,-2.5674,31512,31562,4520.3,4063.1,55808,55893,8.6006,48.373,30362,30465,-3578.2,-3591.4,16244,16297,-741.49,-760.91,25230,25293,704.97,648.72,35858,35873,1288.7,1211.1,7992.5,7987.7,1
180,900,14.872,-3.3283,31483,31533,4574.2,4139.6,55271,55355,2.0635,44.322,30017,30119,-3526,-3648.9,16568,16622,-741.27,-766.18,25707,25754,706.29,645.03,36005,36052,1286.6,1211.3,7875.9,7871,1
180,950,14.096,-4.0244,31449,31499,4619.1,4206.3,54788,54870,1.9242,47.563,30268,30289,-3480.7,-3697.7,16850,16905,-746.19,-761.19,25687,25871,717.18,642.84,35969,35990,1284.5,1211.5,7785.7,7780.8,1
