"N","Time","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
180,50,11.491,-9.7132,1323.8,1492,1530,1021.8,22440,22442,-0.00015709,0.0089085,0.027979,4.3805,-972.75,-1254.7,-1661.4,0.0090837,-0.48581,-0.060176,-0.44166,0.068742,0.066896,0.47439,43.069,498.56,193.36,207.62,3809.7,3757.4,1
180,100,30.723,-36.505,1392.2,1569.5,1265.1,630.59,17310,17311,0.0097205,0.0013815,0.06749,17.624,-744.75,-1638,-1573.3,0.0029125,-0.18486,-2.7637,-1.6618,0.23105,2.1359,0.40366,395.33,993.13,196.54,222.21,3270.8,3203.2,1
180,150,48.756,-33.979,1425.3,1606.8,1097.6,501.84,14581,14581,0.018521,-0.0038196,0.27769,64.923,-595.57,-1641.7,-1461.1,0.012321,-0.11484,-7.5536,-3.9686,0.87648,10.653,0.94346,1354.2,1455.6,196.88,207.18,2948.6,2868.1,1
180,200,47.204,-33.177,1439.9,1623,973.62,507.35,12881,12881,0.045145,-0.0012513,1.2216,166.2,-577.18,-1522.8,-1346.1,0.020655,-0.52148,-11.585,-7.4858,2.8524,16.976,1.6742,2359.5,2384.7,186.02,198.06,2715.9,2624.8,1
180,250,37.158,-33.01,1450.1,1633.8,877.37,615.83,11641,11641,0.079889,0.001161,4.3044,263.45,-577.24,-1427.2,-1242.3,0.038335,-2.4623,-14.465,-12.441,7.1547,23.545,2.5542,2810.2,2835.8,177.92,191.91,2547,2447.2,1
180,300,32.407,-32.804,1458.1,1642,809.09,641.93,10743,10743,0.13729,-0.0030951,12.603,368.91,-635.62,-1352.2,-1154.3,0.22833,-5.1773,-19.517,-18.859,14.481,20.87,3.5431,2985.4,2998.8,173.07,185.87,2418.3,2311.2,1
180,350,29.973,-33.012,1464.3,1648.2,759.52,644.67,10075,10075,0.18428,-0.013563,32.236,406.77,-671.68,-1289.2,-1080.8,0.24056,-12.171,-21.517,-26.783,28.858,23.059,4.0331,2922.2,2934.8,168.83,180.44,2313.7,2200.1,1
180,400,27.332,-34.173,1468.8,1652.8,746.52,639.81,9556.1,9556.4,0.29788,-0.0096497,73.684,517.94,-692.13,-1236.6,-1018.9,0.11264,-19.404,-33.03,-36.154,49.225,25.462,5.0762,2984.3,2986,165.52,176.17,2225.6,2106.2,1
180,450,25.438,-36.435,1472,1656,731.11,630.74,9140,9140.3,0.49113,-0.013153,149.87,556.71,-698.78,-1192.1,-966.38,0.22537,-19.994,-47.702,-46.575,69.587,25.496,5.5168,2955.8,2956.3,162.73,172.88,2148.5,2023.7,1
180,500,24.255,-38.705,1474,1658,715.4,619.55,8795.5,8795.8,0.53155,-0.016074,267.9,561.34,-696.46,-1153.7,-921.25,0.71739,-21.484,-50.169,-57.688,111.01,31.916,6.098,2941.3,2954.8,160.18,170.31,2079.4,1949.7,1
