"avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
9.1388,-35.37,6581.2,6590.7,782.14,787.31,13534,13546,1.6466,-29.935,6176.8,6187.1,-835.9,-705.08,3037.3,3042.1,257.4,237.43,2010.9,2010.4
9.0454,-35.507,6578.5,6588,792.5,796.47,13420,13432,1.7427,-29.955,6192.2,6197.4,-829.12,-699.09,3072.5,3077.4,257.31,237.4,1999,1998.6
8.9623,-35.623,6576.3,6585.8,801.36,804.31,13321,13333,1.8234,-29.573,6191.6,6198.3,-823.28,-693.93,3102.7,3107.7,257.25,237.4,1989.9,1989.4
8.8889,-35.723,6574.4,6583.9,808.91,811.01,13236,13248,1.4741,-29.194,6206.6,6216.8,-818.27,-689.49,3128.5,3133.5,257.21,237.4,1982.9,1982.4
8.8245,-35.808,6572.8,6582.3,815.36,816.73,13163,13175,1.106,-28.868,6205.6,6210.2,-813.96,-685.69,3150.5,3155.6,257.19,237.41,1977.5,1977
8.7683,-35.88,6571.5,6581,820.85,821.62,13101,13113,0.79116,-28.589,6195.3,6199.9,-810.28,-682.43,3169.3,3174.4,257.17,237.43,1973.2,1972.8
8.7196,-35.942,6570.4,6579.9,825.53,825.78,13048,13060,0.52224,-28.349,6186.5,6191.1,-807.14,-679.64,3185.3,3190.5,257.17,237.45,1969.9,1969.5
8.6775,-35.994,6569.4,6578.9,829.5,829.32,13002,13014,0.29283,-28.144,6173.2,6181.2,-804.45,-677.26,3198.9,3204.1,257.16,237.47,1967.4,1966.9
8.6412,-36.038,6568.6,6578.1,832.89,832.34,13012,13015,0.097315,-27.969,6162,6170,-802.16,-675.23,3210.5,3215.7,257.16,237.48,1965.3,1964.8
8.6101,-36.076,6567.9,6577.4,835.76,834.9,13059,13062,-0.06917,-27.819,6152.5,6160.4,-800.22,-673.5,3220.4,3225.6,257.16,237.5,1963.7,1963.2
8.5834,-36.108,6567.3,6576.9,838.21,837.08,13099,13101,-0.088295,-27.692,6145.1,6156.3,-798.55,-672.03,3228.8,3234,257.16,237.52,1962.4,1961.9
8.5606,-36.136,6566.8,6576.4,840.28,838.93,13132,13135,-0.099515,-27.584,6146.9,6153.6,-797.14,-670.78,3234.8,3235.2,257.17,237.53,1961.4,1960.9
8.5366,-36.16,6566.4,6576,842.05,840.49,13161,13164,-0.10997,-27.483,6147.7,6154.4,-795.95,-669.71,3229.9,3230.3,257.17,237.54,1960.6,1960.1
8.5211,-36.178,6566.1,6575.6,843.65,841.88,13185,13188,-0.17394,-27.379,6155.8,6163.3,-794.91,-668.8,3225.8,3226.2,257.18,237.55,1959.9,1959.4
8.4907,-36.204,6565.8,6575.3,844.7,842.87,13206,13209,-0.079575,-27.342,6162.6,6170.8,-794.09,-668.05,3222.3,3222.7,257.17,237.56,1959.3,1958.9
8.4937,-36.211,6565.5,6575,845.87,843.92,13223,13226,-0.13376,-27.286,6168.3,6177.2,-793.34,-667.4,3219.3,3219.8,257.18,237.57,1958.9,1958.4
8.4875,-36.219,6565.3,6574.8,846.81,844.79,13238,13241,-0.19884,-27.239,6173.2,6182.5,-792.69,-666.85,3216.9,3217.3,257.19,237.58,1958.5,1958.1
8.4732,-36.236,6565.1,6574.7,847.46,845.35,13250,13253,-0.04639,-27.254,6176.8,6187,-792.26,-666.41,3214.8,3215.2,257.18,237.59,1958.2,1957.8
8.4658,-36.246,6565,6574.5,848.16,845.94,13261,13264,-0.11213,-27.225,6179.3,6190.2,-791.79,-666.02,3213,3213.4,257.18,237.59,1958,1957.5
8.4595,-36.253,6564.9,6574.4,848.72,846.43,13270,13272,-0.12167,-27.194,6181.3,6192.3,-791.41,-665.69,3211.5,3211.9,257.19,237.59,1957.8,1957.3
8.4437,-36.256,6564.8,6574.3,849.05,846.81,13277,13280,-0.17256,-27.038,6183.1,6194,-791.1,-665.41,3210.2,3210.6,257.18,237.6,1957.6,1957.2
8.4419,-36.261,6564.7,6574.2,849.39,847.15,13284,13286,-0.17838,-27.03,6184.5,6195.5,-790.84,-665.18,3209.2,3209.6,257.18,237.6,1957.5,1957
8.4461,-36.268,6564.6,6574.1,850.09,847.51,13288,13291,-0.11036,-27.127,6185.8,6196.7,-790.63,-664.99,3208.2,3208.7,257.19,237.6,1957.3,1956.9
8.4359,-36.271,6564.5,6574,849.84,847.65,13294,13296,-0.16653,-27.021,6186.9,6197.8,-790.42,-664.81,3207.5,3207.9,257.18,237.61,1957.3,1956.8
8.4322,-36.275,6564.5,6574,849.98,847.84,13298,13300,-0.17313,-27.011,6187.8,6198.7,-790.26,-664.66,3206.8,3207.2,257.18,237.61,1957.2,1956.7
8.4368,-36.275,6564.4,6573.9,850.98,848.18,13300,13303,-0.13062,-27.057,6188.5,6199.5,-790.13,-664.55,3206.3,3206.7,257.19,237.61,1957.1,1956.6
8.4349,-36.277,6564.4,6573.9,851.19,848.35,13303,13305,-0.13871,-27.041,6189.2,6200.2,-790.01,-664.44,3205.8,3206.2,257.19,237.61,1957,1956.6
8.4328,-36.279,6564.3,6573.9,851.31,848.47,13305,13308,-0.14078,-27.029,6189.7,6200.7,-789.92,-664.36,3205.4,3205.8,257.19,237.61,1957,1956.5
8.4263,-36.285,6564.3,6573.8,850.57,848.4,13308,13311,-0.15591,-27.003,6190.2,6201.1,-789.83,-664.28,3205.1,3205.5,257.19,237.62,1957,1956.5
8.4263,-36.285,6564.3,6573.8,850.7,848.5,13310,13313,-0.15692,-27.001,6190.6,6201.6,-789.76,-664.22,3204.8,3205.2,257.19,237.62,1956.9,1956.5
8.4279,-36.283,6564.3,6573.8,851.63,848.74,13310,13313,-0.14272,-27.007,6190.9,6201.9,-789.71,-664.17,3204.5,3205,257.19,237.61,1956.9,1956.4
8.4245,-36.288,6564.3,6573.8,850.85,848.64,13312,13315,-0.15675,-26.994,6191.2,6202.1,-789.65,-664.12,3204.3,3204.8,257.19,237.62,1956.9,1956.4
8.424,-36.289,6564.2,6573.8,850.93,848.7,13313,13316,-0.156,-26.992,6191.4,6202.4,-789.61,-664.09,3204.1,3204.6,257.19,237.62,1956.9,1956.4
8.4267,-36.285,6564.2,6573.7,851.81,848.92,13313,13316,-0.14824,-26.995,6191.6,6202.6,-789.58,-664.05,3204,3204.4,257.2,237.62,1956.8,1956.4
8.4257,-36.286,6564.2,6573.7,851.87,848.96,13314,13316,-0.14775,-26.992,6191.8,6202.8,-789.55,-664.03,3203.9,3204.3,257.2,237.62,1956.8,1956.4
8.4229,-36.29,6564.2,6573.7,851.06,848.81,13315,13318,-0.15604,-26.986,6191.8,6202.9,-789.52,-664.01,3203.8,3204.2,257.19,237.62,1956.8,1956.4
8.4252,-36.287,6564.2,6573.7,851.93,849.02,13315,13318,-0.14807,-26.989,6191.8,6203,-789.5,-663.99,3203.7,3204.1,257.2,237.62,1956.8,1956.3
8.425,-36.287,6564.2,6573.7,851.95,849.03,13315,13318,-0.14808,-26.987,6191.8,6203.1,-789.49,-663.98,3203.6,3204.1,257.2,237.62,1956.8,1956.3
