LIGGGHTS data file 

720 atoms

1 atom types

0.0   0.006 xlo xhi
0.0   0.006 ylo yhi
0.006 0.026 zlo zhi


Atoms

1 1 0.001 1000 0.0005 0.0005 0.0065
2 1 0.001 1000 0.0015 0.0005 0.0065
3 1 0.001 1000 0.0025 0.0005 0.0065
4 1 0.001 1000 0.0035 0.0005 0.0065
5 1 0.001 1000 0.0045 0.0005 0.0065
6 1 0.001 1000 0.0055 0.0005 0.0065
7 1 0.001 1000 0.0005 0.0015 0.0065
8 1 0.001 1000 0.0015 0.0015 0.0065
9 1 0.001 1000 0.0025 0.0015 0.0065
10 1 0.001 1000 0.0035 0.0015 0.0065
11 1 0.001 1000 0.0045 0.0015 0.0065
12 1 0.001 1000 0.0055 0.0015 0.0065
13 1 0.001 1000 0.0005 0.0025 0.0065
14 1 0.001 1000 0.0015 0.0025 0.0065
15 1 0.001 1000 0.0025 0.0025 0.0065
16 1 0.001 1000 0.0035 0.0025 0.0065
17 1 0.001 1000 0.0045 0.0025 0.0065
18 1 0.001 1000 0.0055 0.0025 0.0065
19 1 0.001 1000 0.0005 0.0035 0.0065
20 1 0.001 1000 0.0015 0.0035 0.0065
21 1 0.001 1000 0.0025 0.0035 0.0065
22 1 0.001 1000 0.0035 0.0035 0.0065
23 1 0.001 1000 0.0045 0.0035 0.0065
24 1 0.001 1000 0.0055 0.0035 0.0065
25 1 0.001 1000 0.0005 0.0045 0.0065
26 1 0.001 1000 0.0015 0.0045 0.0065
27 1 0.001 1000 0.0025 0.0045 0.0065
28 1 0.001 1000 0.0035 0.0045 0.0065
29 1 0.001 1000 0.0045 0.0045 0.0065
30 1 0.001 1000 0.0055 0.0045 0.0065
31 1 0.001 1000 0.0005 0.0055 0.0065
32 1 0.001 1000 0.0015 0.0055 0.0065
33 1 0.001 1000 0.0025 0.0055 0.0065
34 1 0.001 1000 0.0035 0.0055 0.0065
35 1 0.001 1000 0.0045 0.0055 0.0065
36 1 0.001 1000 0.0055 0.0055 0.0065
37 1 0.001 1000 0.0005 0.0005 0.0075
38 1 0.001 1000 0.0015 0.0005 0.0075
39 1 0.001 1000 0.0025 0.0005 0.0075
40 1 0.001 1000 0.0035 0.0005 0.0075
41 1 0.001 1000 0.0045 0.0005 0.0075
