"avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
1.2925,-24.257,5243,5245.3,324.8,269.84,7885.3,7885.5,-0.58239,-16.038,5141.3,5142,-285.25,-325.11,3630.5,3630.8,106.83,113.6,827.54,827.75
1.2934,-24.258,5242.9,5245.3,324.67,269.8,7886,7886.2,-0.60303,-16.059,5141.8,5142.4,-284.82,-325.09,3630.4,3630.7,106.82,113.59,827.6,827.81
1.2943,-24.259,5242.9,5245.3,324.7,269.82,7886.4,7886.6,-0.60031,-16.061,5142.1,5142.7,-284.86,-325.08,3630.3,3630.6,106.82,113.59,827.66,827.86
1.2948,-24.26,5242.9,5245.2,324.72,269.83,7886.6,7886.9,-0.59887,-16.062,5142.3,5142.9,-284.88,-325.07,3630.2,3630.5,106.82,113.59,827.69,827.9
1.2954,-24.261,5242.9,5245.2,324.88,269.85,7886.6,7886.8,-0.58802,-16.043,5142.4,5143,-285.31,-325.07,3630.1,3630.5,106.82,113.59,827.71,827.92
1.2959,-24.262,5242.9,5245.2,324.89,269.85,7886.7,7886.9,-0.58818,-16.044,5142.5,5143.1,-285.32,-325.06,3630.1,3630.4,106.82,113.59,827.73,827.94
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
